 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag B EV 5 | -6.58861e-06 / 6.58861e-06 | -5.03686e-06 / 5.03686e-06 | -5.30396e-05 / 5.30396e-05 | -4.09538e-05 / 4.09538e-05 | -3.572e-05 / 3.572e-05 | 0 / 0 | 0 / 0 | -0.000124113 / 0.000124113 | 0 / 0 | 0 / 0 | -8.91421e-05 / 8.91421e-05 | -9.78153e-05 / 9.78153e-05 | -0.000183915 / 0.000183915 | 0 / 0 | 0 / 0 | -6.92836e-05 / 6.92836e-05 | -2.00976e-05 / 2.00976e-05 |
 | btag C EV 0 | -0.214877 / 0.214877 | -0.26689 / 0.26689 | -0.00846803 / 0.00846803 | -0.0558947 / 0.0558947 | -0.00883237 / 0.00883237 | -0.00103226 / 0.00103226 | -0.6569 / 0.6569 | -0.0686599 / 0.0686599 | -0.0502924 / 0.0502924 | -0.658735 / 0.658735 | -0.0347595 / 0.0347595 | -0.108175 / 0.108175 | -0.0629801 / 0.0629801 | 0 / 0 | 0 / 0 | -0.0126045 / 0.0126045 | -0.00323793 / 0.00323793 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.0935048 / 0.0935048 | -0.018369 / 0.018369 | -0.00312278 / 0.00312278 | -0.0128316 / 0.0128316 | -0.0018371 / 0.0018371 | -0.99 / 0.99 | -0.302587 / 0.302587 | -0.0444725 / 0.0444725 | -0.99 / 0.99 | -0.304035 / 0.304035 | -0.0402523 / 0.0402523 | -0.0320773 / 0.0320773 | -0.0285844 / 0.0285844 | 0 / 0 | 0 / 0 | -0.000808739 / 0.000808739 | -0.000528671 / 0.000528671 |
 | btag L EV 1 | 9.8561e-05 / -9.8561e-05 | 1.55265e-05 / -1.55265e-05 | -5.81797e-06 / 5.81797e-06 | 5.80747e-05 / -5.80747e-05 | -3.10608e-06 / 3.10608e-06 | 0.00347176 / -0.00347176 | 0.00101581 / -0.00101581 | -1.24811e-05 / 1.24811e-05 | 0.00209368 / -0.00209368 | 0.000519476 / -0.000519476 | -0.000736568 / 0.000736568 | -6.65651e-05 / 6.65651e-05 | 0.000196536 / -0.000196536 | 0 / 0 | 0 / 0 | 0.000213855 / -0.000213855 | -3.45145e-05 / 3.45145e-05 |
 | btag L EV 2 | -8.35068e-06 / 8.35068e-06 | 4.62098e-07 / -4.62098e-07 | -1.30481e-05 / 1.30481e-05 | 6.88819e-05 / -6.88819e-05 | 1.627e-06 / -1.627e-06 | 0.000271673 / -0.000271673 | -0.000246202 / 0.000246202 | 8.49865e-05 / -8.49865e-05 | 0.000884671 / -0.000884671 | -0.000576952 / 0.000576952 | -0.000457633 / 0.000457633 | 0.00010612 / -0.00010612 | -0.000283804 / 0.000283804 | 0 / 0 | 0 / 0 | 0.000232076 / -0.000232076 | -4.74251e-05 / 4.74251e-05 |
 | btag L EV 3 | -0.000152036 / 0.000152036 | -4.01101e-05 / 4.01101e-05 | -3.27614e-06 / 3.27614e-06 | -1.81448e-05 / 1.81448e-05 | -1.27941e-05 / 1.27941e-05 | -0.00141688 / 0.00141688 | -0.000467599 / 0.000467599 | -0.000118653 / 0.000118653 | -0.000420694 / 0.000420694 | -0.000507138 / 0.000507138 | 0.000482715 / -0.000482715 | -6.66088e-05 / 6.66088e-05 | -0.000163693 / 0.000163693 | 0 / 0 | 0 / 0 | 0.000172789 / -0.000172789 | -5.19849e-06 / 5.19849e-06 |
 | btag L EV 4 | 6.49668e-05 / -6.49668e-05 | 3.49346e-05 / -3.49346e-05 | 1.29916e-06 / -1.29916e-06 | 1.41063e-05 / -1.41063e-05 | 1.40513e-05 / -1.40513e-05 | 0.000209864 / -0.000209864 | -4.99887e-06 / 4.99887e-06 | 8.49044e-05 / -8.49044e-05 | 0.000854134 / -0.000854134 | -6.82331e-05 / 6.82331e-05 | 0.000160813 / -0.000160813 | 6.1364e-05 / -6.1364e-05 | 5.76324e-05 / -5.76324e-05 | 0 / 0 | 0 / 0 | 5.06419e-05 / -5.06419e-05 | -4.36965e-05 / 4.36965e-05 |
 | btag L EV 5 | -3.60458e-05 / 3.60458e-05 | -1.53416e-05 / 1.53416e-05 | -1.07322e-06 / 1.07322e-06 | -1.70072e-05 / 1.70072e-05 | -5.69449e-06 / 5.69449e-06 | -0.000348889 / 0.000348889 | -0.000186719 / 0.000186719 | -0.000141767 / 0.000141767 | -0.000376735 / 0.000376735 | -5.62462e-05 / 5.62462e-05 | -8.77664e-05 / 8.77664e-05 | -2.18533e-06 / 2.18533e-06 | -3.12045e-05 / 3.12045e-05 | 0 / 0 | 0 / 0 | 3.00189e-06 / -3.00189e-06 | 2.45756e-05 / -2.45756e-05 |
 | btag L EV 6 | 3.96083e-05 / -3.96083e-05 | 8.31776e-06 / -8.31776e-06 | 8.47278e-07 / -8.47278e-07 | 6.65499e-06 / -6.65499e-06 | 1.10932e-06 / -1.10932e-06 | 0.000299621 / -0.000299621 | 4.21288e-06 / -4.21288e-06 | 2.64813e-05 / -2.64813e-05 | 0.000146655 / -0.000146655 | 7.81124e-05 / -7.81124e-05 | 5.4384e-05 / -5.4384e-05 | 1.4598e-05 / -1.4598e-05 | 1.93502e-05 / -1.93502e-05 | 0 / 0 | 0 / 0 | -4.46981e-05 / 4.46981e-05 | -9.45292e-07 / 9.45292e-07 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.33482e-16 / -2.66964e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.00445e-16 / 1.33482e-16 | 1.17121e-16 / 0 | 0 / 3.05893e-16 | -1.14679e-16 / 0 | 0 / 0 | -1.70823e-16 / 1.70823e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -2.66964e-16 / 1.33482e-16 | 1.17121e-16 / 1.17121e-16 | 1.52947e-16 / 1.52947e-16 | -2.29359e-16 / 1.14679e-16 | -1.6357e-16 / 1.6357e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.33482e-16 / -4.00445e-16 | 0 / 2.34242e-16 | 3.05893e-16 / 0 | 0 / -1.14679e-16 | -1.6357e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.0270568 / 0.0270568 | -0.00478881 / 0.00478881 | -0.000689176 / 0.000689176 | -0.00539111 / 0.00539111 | -0.000773674 / 0.000773674 | -0.388544 / 0.388544 | -0.0832633 / 0.0832633 | -0.0151337 / 0.0151337 | -0.338491 / 0.338491 | -0.075274 / 0.075274 | -0.0124479 / 0.0124479 | -0.0140604 / 0.0140604 | -0.0096989 / 0.0096989 | 0 / 0 | 0 / 0 | -0.00259769 / 0.00259769 | -0.000649619 / 0.000649619 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -4.00445e-16 / 1.33482e-16 | 1.17121e-16 / 0 | 0 / 3.05893e-16 | -1.14679e-16 / 0 | 0 / 0 | -1.70823e-16 / 1.70823e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.0234766 / -0.0234766 | 0.00482957 / -0.00482957 | 0.000842928 / -0.000842928 | 0.00168411 / -0.00168411 | 0.000612786 / -0.000612786 | 0.291663 / -0.291663 | 0.0758047 / -0.0758047 | 0.0101963 / -0.0101963 | 0.304712 / -0.304712 | 0.0753768 / -0.0753768 | 0.0101524 / -0.0101524 | 0.00464763 / -0.00464763 | 0.00657236 / -0.00657236 | 0 / 0 | 0 / 0 | -0.000628416 / 0.000628416 | 0.00103972 / -0.00103972 |
 | btag L EV 14 | -0.0182839 / 0.0182839 | -0.00319494 / 0.00319494 | -0.000445216 / 0.000445216 | -0.00406352 / 0.00406352 | -0.000424942 / 0.000424942 | -0.268827 / 0.268827 | -0.0548244 / 0.0548244 | -0.0117286 / 0.0117286 | -0.229536 / 0.229536 | -0.0513557 / 0.0513557 | -0.00917035 / 0.00917035 | -0.0106317 / 0.0106317 | -0.00818045 / 0.00818045 | 0 / 0 | 0 / 0 | -0.00200427 / 0.00200427 | -0.000224531 / 0.000224531 |
 | btag L EV 15 | -0.00558653 / 0.00558653 | -0.000943742 / 0.000943742 | -0.000152905 / 0.000152905 | -0.000941993 / 0.000941993 | -6.14561e-05 / 6.14561e-05 | -0.0698036 / 0.0698036 | -0.0140748 / 0.0140748 | -0.00341941 / 0.00341941 | -0.0663101 / 0.0663101 | -0.0164515 / 0.0164515 | -0.00345898 / 0.00345898 | -0.0031064 / 0.0031064 | -0.00180899 / 0.00180899 | 0 / 0 | 0 / 0 | -0.000589271 / 0.000589271 | -0.000138831 / 0.000138831 |
 | btag L EV 16 | 0.00374781 / -0.00374781 | 3.57201e-05 / -3.57201e-05 | 0.000103029 / -0.000103029 | -4.65849e-05 / 4.65849e-05 | -3.12457e-05 / 3.12457e-05 | 0.0340621 / -0.0340621 | 0.0101658 / -0.0101658 | 0.000568999 / -0.000568999 | 0.0466202 / -0.0466202 | 0.012705 / -0.012705 | 0.0026468 / -0.0026468 | 0.00315994 / -0.00315994 | 0.0013548 / -0.0013548 | 0 / 0 | 0 / 0 | 0.0016291 / -0.0016291 | -0.000610739 / 0.000610739 |
