 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag L EV 6 | 2.68221e-07 / -2.68221e-07 | -4.85778e-06 / 4.85778e-06 | -1.87755e-06 / 1.87755e-06 | -2.23517e-06 / 2.23517e-06 | 2.11596e-06 / -2.11596e-06 | 0.0002473 / -0.0002473 | 5.16176e-05 / -5.16176e-05 | 1.2219e-06 / -1.2219e-06 | 0.000454783 / -0.000454783 | -5.33462e-06 / 5.33462e-06 | 3.00407e-05 / -3.00407e-05 | 7.51019e-06 / -7.51019e-06 | 0.000119686 / -0.000119686 | 0 / 0 | 0 / 0 | 3.27826e-07 / -3.27826e-07 | -3.57628e-06 / 3.57628e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.00111833 / 0.00111833 | -0.00109756 / 0.00109756 | -0.00020957 / 0.00020957 | -0.0016686 / 0.0016686 | 7.57277e-05 / -7.57277e-05 | -0.273065 / 0.273065 | -0.0628668 / 0.0628668 | -0.00666997 / 0.00666997 | -0.261758 / 0.261758 | -0.0478159 / 0.0478159 | -0.00198609 / 0.00198609 | -0.000587463 / 0.000587463 | -0.0048545 / 0.0048545 | 0 / 0 | 0 / 0 | 0.000328958 / -0.000328958 | -0.00124124 / 0.00124124 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.000712931 / -0.000712931 | 0.000473887 / -0.000473887 | 0.000273496 / -0.000273496 | 0.000497818 / -0.000497818 | -5.47469e-05 / 5.47469e-05 | 0.176104 / -0.176104 | 0.0463783 / -0.0463783 | -0.00139081 / 0.00139081 | 0.186932 / -0.186932 | 0.0467457 / -0.0467457 | 0.00166613 / -0.00166613 | 0.00133082 / -0.00133082 | 0.000436246 / -0.000436246 | 0 / 0 | 0 / 0 | 0.000139862 / -0.000139862 | -0.000600219 / 0.000600219 |
 | btag L EV 14 | -0.000896931 / 0.000896931 | -0.000753254 / 0.000753254 | -0.000233859 / 0.000233859 | -0.00110933 / 0.00110933 | -5.24819e-05 / 5.24819e-05 | -0.183614 / 0.183614 | -0.0417721 / 0.0417721 | -0.00446483 / 0.00446483 | -0.178311 / 0.178311 | -0.02751 / 0.02751 | 0.00386384 / -0.00386384 | -0.00037244 / 0.00037244 | -0.00239235 / 0.00239235 | 0 / 0 | 0 / 0 | 0.000390351 / -0.000390351 | -0.000798643 / 0.000798643 |
 | btag L EV 15 | -0.000275701 / 0.000275701 | -0.000186712 / 0.000186712 | -0.000101894 / 0.000101894 | -0.00023225 / 0.00023225 | -2.32756e-05 / 2.32756e-05 | -0.0410665 / 0.0410665 | -0.00958043 / 0.00958043 | -0.000239044 / 0.000239044 | -0.0494769 / 0.0494769 | -0.00649565 / 0.00649565 | -1.86563e-05 / 1.86563e-05 | -0.000121653 / 0.000121653 | -0.00152203 / 0.00152203 | 0 / 0 | 0 / 0 | 6.75917e-05 / -6.75917e-05 | -0.000411689 / 0.000411689 |
