 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Effective NP 6 | -0.000310217 / 0.000310217 | 0.00090648 / -0.00090648 | 3.74138e-05 / -3.74138e-05 | -0.000642142 / 0.000642142 | -0.000467675 / 0.000467675 | 0.00264539 / -0.00264539 | -0.000554593 / 0.000554593 | 0.00326761 / -0.00326761 | 0.0038935 / -0.0038935 | 0.00095779 / -0.00095779 | 0.00221977 / -0.00221977 | 0.00129647 / -0.00129647 | -0.00310473 / 0.00310473 | 0 / 0 | 0 / 0 | -4.03171e-06 / 4.03171e-06 | 0.000603301 / -0.000603301 |
 | Effective NP 7 | 0.000378497 / -0.000378497 | -0.00110098 / 0.00110098 | 5.27974e-06 / -5.27974e-06 | 0.000805295 / -0.000805295 | 0.000750169 / -0.000750169 | -0.00433041 / 0.00433041 | 0.000991403 / -0.000991403 | -0.00289269 / 0.00289269 | -0.00614643 / 0.00614643 | -0.000442481 / 0.000442481 | -0.00176449 / 0.00176449 | -0.00151583 / 0.00151583 | 0.00219 / -0.00219 | 0 / 0 | 0 / 0 | 8.25051e-06 / -8.25051e-06 | -0.000329036 / 0.000329036 |
 | Effective NP 8 | -0.000273414 / 0.000273414 | 0.000277753 / -0.000277753 | 9.29753e-05 / -9.29753e-05 | -0.000257557 / 0.000257557 | -0.000158489 / 0.000158489 | 0.00101877 / -0.00101877 | 0.000299835 / -0.000299835 | 0.00255339 / -0.00255339 | 0.00138669 / -0.00138669 | 0.000419083 / -0.000419083 | -0.000227642 / 0.000227642 | 0.000859203 / -0.000859203 | -0.00193144 / 0.00193144 | 0 / 0 | 0 / 0 | -3.79143e-05 / 3.79143e-05 | 0.00046824 / -0.00046824 |
 | #eta intercalib. (model) | 0.000662665 / -0.000662665 | -0.00375515 / 0.00375515 | -0.00262541 / 0.00262541 | -0.00313854 / 0.00313854 | -0.0093688 / 0.0093688 | 0.0157177 / -0.0157177 | 0.00646428 / -0.00646428 | 0.0128154 / -0.0128154 | 0.0157551 / -0.0157551 | 0.0155189 / -0.0155189 | 0.00819982 / -0.00819982 | 0.00586725 / -0.00586725 | 0.00212399 / -0.00212399 | 0 / 0 | 0 / 0 | -0.00846279 / 0.00846279 | -0.00182363 / 0.00182363 |
 | #eta intercalib. (stat.) | -0.000688274 / 0.000688274 | 0.000360399 / -0.000360399 | -0.00147137 / 0.00147137 | -0.00349978 / 0.00349978 | -0.00434455 / 0.00434455 | 0.0106185 / -0.0106185 | 0.0054197 / -0.0054197 | 0.00456745 / -0.00456745 | 0.0116497 / -0.0116497 | 0.00466707 / -0.00466707 | 0.0076594 / -0.0076594 | 0.00450536 / -0.00450536 | 0.00546632 / -0.00546632 | 0 / 0 | 0 / 0 | -0.0216397 / 0.0216397 | -0.00140738 / 0.00140738 |
 | #eta intercalib. (stat.) | -0.00111952 / 0.00111952 | 0.000617962 / -0.000617962 | 0.00196861 / -0.00196861 | 0.00306027 / -0.00306027 | 0.00488545 / -0.00488545 | -0.00935845 / 0.00935845 | -0.0028631 / 0.0028631 | -0.00578177 / 0.00578177 | -0.00817762 / 0.00817762 | -0.00755006 / 0.00755006 | -0.00901708 / 0.00901708 | 0.00023308 / -0.00023308 | -0.00738161 / 0.00738161 | 0 / 0 | 0 / 0 | -0.000608414 / 0.000608414 | 0.00685363 / -0.00685363 |
 | Flavour composition | 0.00683425 / -0.00683425 | -0.010783 / 0.010783 | -0.0194683 / 0.0194683 | -0.0338737 / 0.0338737 | -0.0540039 / 0.0540039 | 0.103277 / -0.103277 | 0.0764489 / -0.0764489 | 0.0658153 / -0.0658153 | 0.100941 / -0.100941 | 0.080235 / -0.080235 | 0.0715413 / -0.0715413 | 0.0155209 / -0.0155209 | 0.0268914 / -0.0268914 | 0 / 0 | 0 / 0 | -0.0596853 / 0.0596853 | -0.00355437 / 0.00355437 |
 | Flavor response | -0.00170896 / 0.00170896 | 0.00436544 / -0.00436544 | 0.00529757 / -0.00529757 | 0.0097811 / -0.0097811 | 0.0194679 / -0.0194679 | -0.0345625 / 0.0345625 | -0.0200632 / 0.0200632 | -0.0224636 / 0.0224636 | -0.03701 / 0.03701 | -0.0296799 / 0.0296799 | -0.0407981 / 0.0407981 | -0.010842 / 0.010842 | -0.00291005 / 0.00291005 | 0 / 0 | 0 / 0 | 0.0375054 / -0.0375054 | 0.00355832 / -0.00355832 |
 | Pile-up offset mu term | -0.000232058 / 0.000232058 | 0.00125519 / -0.00125519 | 0.00235684 / -0.00235684 | 0.000556773 / -0.000556773 | 0.000320899 / -0.000320899 | -0.00206061 / 0.00206061 | -0.00280375 / 0.00280375 | 0.00122603 / -0.00122603 | 0.00111632 / -0.00111632 | -0.00583393 / 0.00583393 | -0.000395111 / 0.000395111 | 0.00803184 / -0.00803184 | -0.00233254 / 0.00233254 | 0 / 0 | 0 / 0 | 0.00704956 / -0.00704956 | -8.51514e-05 / 8.51514e-05 |
 | Pile-up offset NPV term | 6.62448e-05 / -6.62448e-05 | 0.000419265 / -0.000419265 | -0.0030621 / 0.0030621 | -0.00161222 / 0.00161222 | -0.00993184 / 0.00993184 | 0.0177099 / -0.0177099 | 0.00672137 / -0.00672137 | 0.011121 / -0.011121 | 0.0182448 / -0.0182448 | 0.00994082 / -0.00994082 | 0.0271551 / -0.0271551 | 0.00973624 / -0.00973624 | 0.00634262 / -0.00634262 | 0 / 0 | 0 / 0 | -0.0334907 / 0.0334907 | 0.00136555 / -0.00136555 |
 | Pile-up offset p_{T} term | 1.46154e-05 / -1.46154e-05 | 0.000103675 / -0.000103675 | 7.51905e-05 / -7.51905e-05 | 6.08205e-05 / -6.08205e-05 | -0.000181429 / 0.000181429 | -0.000468702 / 0.000468702 | 0.000708838 / -0.000708838 | 0.00109013 / -0.00109013 | -0.000583091 / 0.000583091 | 0.000665982 / -0.000665982 | 0.00125562 / -0.00125562 | -0.000172788 / 0.000172788 | 0.0011423 / -0.0011423 | 0 / 0 | 0 / 0 | -1.48485e-05 / 1.48485e-05 | 8.339e-05 / -8.339e-05 |
 | #rho topology | 0.00521357 / -0.00521357 | -0.00863414 / 0.00863414 | -0.0146235 / 0.0146235 | -0.0264313 / 0.0264313 | -0.0397364 / 0.0397364 | 0.0793718 / -0.0793718 | 0.0516929 / -0.0516929 | 0.0461257 / -0.0461257 | 0.0839031 / -0.0839031 | 0.0621121 / -0.0621121 | 0.0544792 / -0.0544792 | 0.0167867 / -0.0167867 | 0.0240325 / -0.0240325 | 0 / 0 | 0 / 0 | -0.060897 / 0.060897 | -0.00678584 / 0.00678584 |
 | Punch-through correction | 8.51258e-07 / -8.51258e-07 | -1.00633e-06 / 1.00633e-06 | -1.92675e-06 / 1.92675e-06 | -2.43742e-07 / 2.43742e-07 | -2.31088e-06 / 2.31088e-06 | 8.66059e-06 / -8.66059e-06 | 2.3486e-05 / -2.3486e-05 | -3.86905e-07 / 3.86905e-07 | -8.71504e-05 / 8.71504e-05 | 3.84191e-06 / -3.84191e-06 | 5.29733e-06 / -5.29733e-06 | -8.94921e-08 / 8.94921e-08 | 5.84083e-05 / -5.84083e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER | -0.0215363 / 0.0215363 | -0.0146234 / 0.0146234 | -0.0175665 / 0.0175665 | -0.0198601 / 0.0198601 | -0.00370433 / 0.00370433 | 0.0787542 / -0.0787542 | -0.0060916 / 0.0060916 | 0.0124403 / -0.0124403 | 0.052092 / -0.052092 | -0.00101478 / 0.00101478 | 0.00317132 / -0.00317132 | -0.00450981 / 0.00450981 | -0.0298812 / 0.0298812 | 0 / 0 | 0 / 0 | 0.0217657 / -0.0217657 | -0.028359 / 0.028359 |
 | MET TST reso. para. | 2.59373e-06 / -2.59373e-06 | -2.17531e-05 / 2.17531e-05 | 3.86617e-06 / -3.86617e-06 | -3.15403e-07 / 3.15403e-07 | 2.76308e-05 / -2.76308e-05 | 0.000212495 / -0.000212495 | 5.08083e-09 / -5.08083e-09 | 2.42406e-05 / -2.42406e-05 | -0.000608736 / 0.000608736 | 0.000517963 / -0.000517963 | -0.000345136 / 0.000345136 | -6.92735e-05 / 6.92735e-05 | -4.56792e-05 / 4.56792e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -1.93438e-05 / 1.93438e-05 |
 | MET TST reso. perp. | 3.45636e-06 / -3.45636e-06 | -4.64737e-05 / 4.64737e-05 | -2.03934e-05 / 2.03934e-05 | -6.34718e-07 / 6.34718e-07 | 3.26399e-05 / -3.26399e-05 | 0.00011157 / -0.00011157 | -1.1852e-09 / 1.1852e-09 | 2.43766e-05 / -2.43766e-05 | -0.000642642 / 0.000642642 | 0.000441635 / -0.000441635 | -0.000347062 / 0.000347062 | 9.78326e-05 / -9.78326e-05 | -3.39418e-05 / 3.39418e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 1.23337e-06 / -1.23337e-06 |
 | MET TST scale | -1.88037e-06 / 1.88037e-06 | 1.13431e-05 / -1.13431e-05 | -8.03347e-06 / 8.03347e-06 | 2.27499e-06 / -2.27499e-06 | 1.11124e-06 / -1.11124e-06 | -1.4659e-05 / 1.4659e-05 | 0 / 0 | 0 / 0 | 4.05883e-05 / -4.05883e-05 | -0.000111712 / 0.000111712 | 0 / 0 | 3.08854e-05 / -3.08854e-05 | 2.50663e-06 / -2.50663e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | -0.0942707 / 0.0942707 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | -0.0986679 / 0.0986679 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | -0.0539295 / 0.0539295 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.435428 / -0.435428 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttbbNorm | 0 / 0 | 0 / 0 | 0.129818 / -0.129818 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | -0.0241591 / 0.0241591 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | 0.00102813 / -0.00102813 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | -0.0512473 / 0.0512473 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | 0.0853623 / -0.0853623 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | 0.00205446 / -0.00205446 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | -0.00278704 / 0.00278704 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | -0.000805647 / 0.000805647 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.00118773 / 0.00118773 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.000797371 / 0.000797371 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.000218943 / 0.000218943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.148964 / -0.148964 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.104156 / -0.104156 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.286565 / -0.286565 | 0.286564 / -0.286564 | 0.286565 / -0.286565 | 0.286564 / -0.286564 | 0.286564 / -0.286564 | 0.286564 / -0.286564 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.298043 / -0.298043 | 0 / 0 | 0 / 0 | 0.298043 / -0.298043 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.286822 / -0.286822 | 0 / 0 | 0 / 0 | 0.286821 / -0.286821 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.139389 / 0.139389 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00446224 / -0.00446224 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0424021 / -0.0424021 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.012169 / -0.012169 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0447392 / -0.0447392 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Dibosons norm. 4j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.337764 / -0.337764 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDE norm. 4j3b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.364804 / -0.364804 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDMU norm. 4j3b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.406617 / -0.406617 | 0 / 0 | 0 / 0 |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.297945 / -0.297945 | 0 / 0 |
