 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag L EV 5 | 0.000334117 / -0.000334117 | -1.27492e-05 / 1.27492e-05 | 8.07715e-06 / -8.07715e-06 | 2.04804e-06 / -2.04804e-06 | 3.01277e-06 / -3.01277e-06 | -0.000510367 / 0.000510367 | -0.000213494 / 0.000213494 | -3.03703e-06 / 3.03703e-06 | -0.000341782 / 0.000341782 | -0.000133413 / 0.000133413 | -9.33214e-05 / 9.33214e-05 | -0.00011585 / 0.00011585 | -0.000113837 / 0.000113837 | 0 / 0 | 0 / 0 | -5.92064e-07 / 5.92064e-07 | 0.000363969 / -0.000363969 |
 | btag L EV 6 | -0.000389677 / 0.000389677 | 0.000216644 / -0.000216644 | 5.26985e-06 / -5.26985e-06 | 1.02927e-05 / -1.02927e-05 | 6.33721e-06 / -6.33721e-06 | 0.000460278 / -0.000460278 | -7.46932e-06 / 7.46932e-06 | 3.62158e-05 / -3.62158e-05 | 0.000245281 / -0.000245281 | 0.000236112 / -0.000236112 | -0.0014347 / 0.0014347 | 1.43308e-06 / -1.43308e-06 | -3.35605e-07 / 3.35605e-07 | 0 / 0 | 0 / 0 | 7.79032e-07 / -7.79032e-07 | 2.43697e-06 / -2.43697e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.70708e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.70708e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.70708e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.0926246 / 0.0926246 | -0.0191483 / 0.0191483 | -0.00377902 / 0.00377902 | -0.00289456 / 0.00289456 | -0.00222691 / 0.00222691 | -0.520721 / 0.520721 | -0.136247 / 0.136247 | -0.00981788 / 0.00981788 | -0.489636 / 0.489636 | -0.0896253 / 0.0896253 | -0.00340747 / 0.00340747 | -0.00421057 / 0.00421057 | -0.00579526 / 0.00579526 | 0 / 0 | 0 / 0 | 0.00019856 / -0.00019856 | 0.00963007 / -0.00963007 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.70708e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.0806365 / -0.0806365 | 0.0299763 / -0.0299763 | 0.00148886 / -0.00148886 | -6.8058e-05 / 6.8058e-05 | 0.000384804 / -0.000384804 | 0.384535 / -0.384535 | 0.0964873 / -0.0964873 | 0.0106264 / -0.0106264 | 0.438381 / -0.438381 | 0.0848891 / -0.0848891 | 0.021952 / -0.021952 | -0.000933452 / 0.000933452 | 0.00148378 / -0.00148378 | 0 / 0 | 0 / 0 | -4.89232e-05 / 4.89232e-05 | 0.0277063 / -0.0277063 |
 | btag L EV 14 | -0.0767372 / 0.0767372 | -0.00367617 / 0.00367617 | -0.00251062 / 0.00251062 | -0.00280335 / 0.00280335 | -0.00170565 / 0.00170565 | -0.358174 / 0.358174 | -0.0937962 / 0.0937962 | -0.00536751 / 0.00536751 | -0.317656 / 0.317656 | -0.0603458 / 0.0603458 | -0.00463809 / 0.00463809 | -0.00291025 / 0.00291025 | -0.00549832 / 0.00549832 | 0 / 0 | 0 / 0 | 0.000139229 / -0.000139229 | 0.0225635 / -0.0225635 |
 | btag L EV 15 | -0.0214618 / 0.0214618 | -0.00130363 / 0.00130363 | -0.000462516 / 0.000462516 | -0.000760663 / 0.000760663 | -0.000378051 / 0.000378051 | -0.0900804 / 0.0900804 | -0.0241496 / 0.0241496 | -0.00112298 / 0.00112298 | -0.0893285 / 0.0893285 | -0.0186826 / 0.0186826 | -0.00619226 / 0.00619226 | 0.000588366 / -0.000588366 | -8.16192e-05 / 8.16192e-05 | 0 / 0 | 0 / 0 | 2.99148e-05 / -2.99148e-05 | 0.0086149 / -0.0086149 |
 | btag L EV 16 | -0.00393583 / 0.00393583 | 0.00604444 / -0.00604444 | -0.00104082 / 0.00104082 | 6.76904e-05 / -6.76904e-05 | 1.44925e-05 / -1.44925e-05 | 0.0436645 / -0.0436645 | 0.00427854 / -0.00427854 | -0.000537522 / 0.000537522 | 0.057951 / -0.057951 | 0.0240188 / -0.0240188 | 0.00136898 / -0.00136898 | -0.00129877 / 0.00129877 | 0.00147999 / -0.00147999 | 0 / 0 | 0 / 0 | -4.45606e-06 / 4.45606e-06 | 0.00777628 / -0.00777628 |
