 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Effective NP 7 | 3.80675e-06 / -3.80675e-06 | 6.04044e-05 / -6.04044e-05 | 0.000278232 / -0.000278232 | 0.000758043 / -0.000758043 | 0.00190677 / -0.00190677 | -0.00445305 / 0.00445305 | 0.000931859 / -0.000931859 | -0.000258358 / 0.000258358 | -0.00610709 / 0.00610709 | 6.41678e-05 / -6.41678e-05 | -0.000630766 / 0.000630766 | -2.65241e-06 / 2.65241e-06 | -0.00788727 / 0.00788727 | 0 / 0 | 0 / 0 | 0.000148714 / -0.000148714 | 8.61981e-06 / -8.61981e-06 |
 | Effective NP 8 | 0.000137091 / -0.000137091 | -5.53391e-05 / 5.53391e-05 | -0.00132208 / 0.00132208 | -0.000735455 / 0.000735455 | -0.00069838 / 0.00069838 | 0.00103903 / -0.00103903 | 0.00040271 / -0.00040271 | 0.000557841 / -0.000557841 | 0.00108907 / -0.00108907 | 0.000428892 / -0.000428892 | 0.000469029 / -0.000469029 | 8.5738e-05 / -8.5738e-05 | 0.000257277 / -0.000257277 | 0 / 0 | 0 / 0 | -0.000147432 / 0.000147432 | 0.000350991 / -0.000350991 |
 | #eta intercalib. (model) | 0.000167243 / -0.000167243 | -0.0412361 / 0.0412361 | -0.0147018 / 0.0147018 | 0.000267625 / -0.000267625 | -0.0104278 / 0.0104278 | 0.0144741 / -0.0144741 | 0.00984757 / -0.00984757 | 0.00693342 / -0.00693342 | 0.0147858 / -0.0147858 | 0.0156504 / -0.0156504 | 0.0132856 / -0.0132856 | 0.000151389 / -0.000151389 | -0.0219256 / 0.0219256 | 0 / 0 | 0 / 0 | 0.00283942 / -0.00283942 | -0.0142756 / 0.0142756 |
 | #eta intercalib. (stat.) | 0.000155948 / -0.000155948 | 1.73748e-05 / -1.73748e-05 | -0.00505097 / 0.00505097 | -0.00049697 / 0.00049697 | -0.00608342 / 0.00608342 | 0.0106158 / -0.0106158 | 0.00818444 / -0.00818444 | 0.00308862 / -0.00308862 | 0.0120588 / -0.0120588 | 0.00473987 / -0.00473987 | 0.00850253 / -0.00850253 | 0.000169757 / -0.000169757 | 0.010561 / -0.010561 | 0 / 0 | 0 / 0 | 0.0031597 / -0.0031597 | -0.00524487 / 0.00524487 |
 | #eta intercalib. (stat.) | 8.79904e-05 / -8.79904e-05 | -0.000384131 / 0.000384131 | 0.00466501 / -0.00466501 | -0.000417834 / 0.000417834 | 0.00502788 / -0.00502788 | -0.00960504 / 0.00960504 | -0.00728118 / 0.00728118 | -0.00249606 / 0.00249606 | -0.00908291 / 0.00908291 | -0.00706663 / 0.00706663 | -0.00923501 / 0.00923501 | -0.000156949 / 0.000156949 | -0.00985906 / 0.00985906 | 0 / 0 | 0 / 0 | -0.00309047 / 0.00309047 | 0.00600906 / -0.00600906 |
 | Flavour composition | -0.0894153 / 0.0894153 | -0.129501 / 0.129501 | -0.0236708 / 0.0236708 | -0.0241002 / 0.0241002 | -0.0435513 / 0.0435513 | 0.103636 / -0.103636 | 0.0874106 / -0.0874106 | 0.0762125 / -0.0762125 | 0.102359 / -0.102359 | 0.0608615 / -0.0608615 | 0.0228084 / -0.0228084 | -0.0292674 / 0.0292674 | -0.0432883 / 0.0432883 | 0 / 0 | 0 / 0 | -0.234137 / 0.234137 | 0.060651 / -0.060651 |
 | Flavor response | -9.68874e-05 / 9.68874e-05 | 0.0399465 / -0.0399465 | 0.0143378 / -0.0143378 | -0.000902802 / 0.000902802 | 0.0160713 / -0.0160713 | -0.0342821 / 0.0342821 | -0.0186795 / 0.0186795 | -0.00696589 / 0.00696589 | -0.0377865 / 0.0377865 | -0.0250944 / 0.0250944 | -0.0181103 / 0.0181103 | 0.041528 / -0.041528 | 0.0193172 / -0.0193172 | 0 / 0 | 0 / 0 | -0.00399563 / 0.00399563 | 0.0222848 / -0.0222848 |
 | Pile-up offset mu term | -0.000143902 / 0.000143902 | 5.68878e-05 / -5.68878e-05 | 0.00390892 / -0.00390892 | 0.00113724 / -0.00113724 | 0.00183919 / -0.00183919 | -0.00181969 / 0.00181969 | -0.00693769 / 0.00693769 | 0.000119194 / -0.000119194 | 0.00210762 / -0.00210762 | -0.00286129 / 0.00286129 | 0.00170444 / -0.00170444 | -6.83898e-05 / 6.83898e-05 | -0.00864125 / 0.00864125 | 0 / 0 | 0 / 0 | -0.000150502 / 0.000150502 | -0.000707725 / 0.000707725 |
 | Pile-up offset NPV term | -0.0193579 / 0.0193579 | -0.0421463 / 0.0421463 | -0.0115901 / 0.0115901 | 0.00042496 / -0.00042496 | -0.0064945 / 0.0064945 | 0.0176675 / -0.0176675 | 0.0128445 / -0.0128445 | 0.00586909 / -0.00586909 | 0.0168733 / -0.0168733 | 0.00652498 / -0.00652498 | 0.00133777 / -0.00133777 | -0.0438492 / 0.0438492 | 0.0563738 / -0.0563738 | 0 / 0 | 0 / 0 | 0.00320736 / -0.00320736 | 0.116015 / -0.116015 |
 | Pile-up offset p_{T} term | 9.50992e-05 / -9.50992e-05 | -0.000135452 / 0.000135452 | 0.000107806 / -0.000107806 | -7.05211e-05 / 7.05211e-05 | -0.000147899 / 0.000147899 | -0.000518954 / 0.000518954 | 0.000258523 / -0.000258523 | 0.000621778 / -0.000621778 | -0.000827014 / 0.000827014 | 0.000229766 / -0.000229766 | 0.00319919 / -0.00319919 | 2.93321e-05 / -2.93321e-05 | 0.00204301 / -0.00204301 | 0 / 0 | 0 / 0 | 0.00270537 / -0.00270537 | -0.000176003 / 0.000176003 |
 | #rho topology | -0.0932125 / 0.0932125 | -0.264675 / 0.264675 | -0.0257107 / 0.0257107 | -0.0192926 / 0.0192926 | -0.0343126 / 0.0343126 | 0.0805785 / -0.0805785 | 0.0577718 / -0.0577718 | 0.0383409 / -0.0383409 | 0.0875473 / -0.0875473 | 0.0466027 / -0.0466027 | 0.042378 / -0.042378 | -0.0106221 / 0.0106221 | -0.0135747 / 0.0135747 | 0 / 0 | 0 / 0 | -0.261615 / 0.261615 | 0.0879686 / -0.0879686 |
 | Punch-through correction | 0 / 0 | 0 / 0 | 0 / 0 | -3.75155e-07 / 3.75155e-07 | -8.60414e-07 / 8.60414e-07 | 1.69005e-05 / -1.69005e-05 | 1.77414e-05 / -1.77414e-05 | 3.84307e-07 / -3.84307e-07 | -0.000111908 / 0.000111908 | 1.32452e-06 / -1.32452e-06 | 1.40078e-06 / -1.40078e-06 | 0 / 0 | 1.04904e-05 / -1.04904e-05 | 0 / 0 | 0 / 0 | -8.94182e-08 / 8.94182e-08 | 0 / 0 |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER | 0.00951178 / -0.00951178 | 0.365516 / -0.365516 | -0.0500379 / 0.0500379 | -0.10285 / 0.10285 | -0.0155965 / 0.0155965 | 0.0837189 / -0.0837189 | -0.103756 / 0.103756 | 0.00386821 / -0.00386821 | 0.0498931 / -0.0498931 | 0.0336532 / -0.0336532 | 0.0713129 / -0.0713129 | -0.247257 / 0.247257 | 0.0952397 / -0.0952397 | 0 / 0 | 0 / 0 | -0.406883 / 0.406883 | -0.355332 / 0.355332 |
 | MET TST reso. para. | 0 / 0 | 0 / 0 | 0.00247953 / -0.00247953 | 0.00500758 / -0.00500758 | -0.000131909 / 0.000131909 | 2.74615e-05 / -2.74615e-05 | 0 / 0 | 2.93631e-06 / -2.93631e-06 | -0.000660121 / 0.000660121 | 0.00112505 / -0.00112505 | 3.36169e-05 / -3.36169e-05 | 2.65126e-08 / -2.65126e-08 | -3.8058e-07 / 3.8058e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 2.98023e-08 / -2.98023e-08 |
 | MET TST reso. perp. | 0 / 0 | 0 / 0 | 0.00249304 / -0.00249304 | 0.00503407 / -0.00503407 | -0.000140284 / 0.000140284 | 6.36399e-05 / -6.36399e-05 | 0 / 0 | 2.98179e-06 / -2.98179e-06 | -0.000663936 / 0.000663936 | 0.00113117 / -0.00113117 | 3.37808e-05 / -3.37808e-05 | 0 / 0 | -4.10382e-07 / 4.10382e-07 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MET TST scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -6.2961e-06 / 6.2961e-06 | -1.6662e-05 / 1.6662e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | 0.0547999 / -0.0547999 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | 0.0277861 / -0.0277861 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | -0.0499702 / 0.0499702 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.435428 / -0.435428 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttbbNorm | 0 / 0 | 0 / 0 | 0.132243 / -0.132243 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | 0.015683 / -0.015683 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | 0.031054 / -0.031054 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | -0.0688143 / 0.0688143 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | 0.168898 / -0.168898 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | -0.0346605 / 0.0346605 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | 0.0428475 / -0.0428475 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | -0.00170099 / 0.00170099 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.0189362 / 0.0189362 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.0314525 / 0.0314525 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.00996782 / 0.00996782 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.148964 / -0.148964 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.104156 / -0.104156 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.286565 / -0.286565 | 0.286564 / -0.286564 | 0.286565 / -0.286565 | 0.286565 / -0.286565 | 0.286564 / -0.286564 | 0.286565 / -0.286565 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.298043 / -0.298043 | 0 / 0 | 0 / 0 | 0.298043 / -0.298043 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.286822 / -0.286822 | 0 / 0 | 0 / 0 | 0.286822 / -0.286822 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.132973 / 0.132973 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.010697 / -0.010697 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.124228 / -0.124228 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0604229 / -0.0604229 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0447391 / -0.0447391 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Dibosons norm. 4j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.337764 / -0.337764 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDE norm. 4j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.454719 / -0.454719 | 0 / 0 | 0 / 0 | 0 / 0 |
 | QCDMU norm. 4j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.488143 / -0.488143 | 0 / 0 | 0 / 0 |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.297945 / -0.297945 | 0 / 0 |
