 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Effective NP 7 | 9.05056e-07 / -9.05056e-07 | -5.45103e-05 / 5.45103e-05 | 0.00169051 / -0.00169051 | 0.000582587 / -0.000582587 | 0.00168491 / -0.00168491 | -0.00479896 / 0.00479896 | -0.0046836 / 0.0046836 | 0.000102035 / -0.000102035 | -0.00493205 / 0.00493205 | -0.00162574 / 0.00162574 | -0.0007942 / 0.0007942 | -5.36442e-06 / 5.36442e-06 | -7.72785e-05 / 7.72785e-05 | 1.60962e-05 / -1.60962e-05 | 0 / 0 | 0 / 0 | 0.0295105 / -0.0295105 |
 | Effective NP 8 | -3.18885e-06 / 3.18885e-06 | -1.18171e-05 / 1.18171e-05 | -0.00135291 / 0.00135291 | 0.000284957 / -0.000284957 | 0.000228307 / -0.000228307 | 0.0002378 / -0.0002378 | 0.00171433 / -0.00171433 | 0.000592068 / -0.000592068 | 0.000549602 / -0.000549602 | 0.000229031 / -0.000229031 | 0.000335626 / -0.000335626 | 2.92379e-05 / -2.92379e-05 | 0.000436342 / -0.000436342 | -1.98841e-05 / 1.98841e-05 | 0 / 0 | 0 / 0 | 6.33987e-05 / -6.33987e-05 |
 | #eta intercalib. (model) | -0.000136316 / 0.000136316 | -0.00081241 / 0.00081241 | -0.002289 / 0.002289 | -0.00448367 / 0.00448367 | -0.000831727 / 0.000831727 | 0.0153726 / -0.0153726 | 0.0207871 / -0.0207871 | 0.00658476 / -0.00658476 | 0.00833294 / -0.00833294 | 0.0168174 / -0.0168174 | 0.00516155 / -0.00516155 | -0.0104098 / 0.0104098 | 0.0340044 / -0.0340044 | -0.0104743 / 0.0104743 | 0 / 0 | 0 / 0 | -0.0274305 / 0.0274305 |
 | #eta intercalib. (stat.) | 2.555e-05 / -2.555e-05 | 0.000421957 / -0.000421957 | -0.00258601 / 0.00258601 | -0.00125686 / 0.00125686 | -0.00310451 / 0.00310451 | 0.0100333 / -0.0100333 | 0.0146474 / -0.0146474 | 0.00664017 / -0.00664017 | 0.00876209 / -0.00876209 | 0.00717772 / -0.00717772 | 0.00307986 / -0.00307986 | -0.0184138 / 0.0184138 | -0.00536356 / 0.00536356 | -0.0129452 / 0.0129452 | 0 / 0 | 0 / 0 | -0.0167114 / 0.0167114 |
 | #eta intercalib. (stat.) | 1.97715e-05 / -1.97715e-05 | 0.00741813 / -0.00741813 | 0.000604915 / -0.000604915 | 0.00314933 / -0.00314933 | -0.000158676 / 0.000158676 | -0.00897246 / 0.00897246 | -0.0124209 / 0.0124209 | -0.00265418 / 0.00265418 | -0.00141868 / 0.00141868 | -0.00527762 / 0.00527762 | -0.0011352 / 0.0011352 | -0.00793872 / 0.00793872 | -0.000788823 / 0.000788823 | 0.00189582 / -0.00189582 | 0 / 0 | 0 / 0 | -0.00511361 / 0.00511361 |
 | Flavour composition | 0.148936 / -0.148936 | 0.0321182 / -0.0321182 | -0.000149225 / 0.000149225 | -0.00625308 / 0.00625308 | -0.0134716 / 0.0134716 | 0.107832 / -0.107832 | 0.103208 / -0.103208 | 0.0687144 / -0.0687144 | 0.0965157 / -0.0965157 | 0.074124 / -0.074124 | -0.0842234 / 0.0842234 | 0.00466397 / -0.00466397 | 0.0566182 / -0.0566182 | -0.0181773 / 0.0181773 | 0 / 0 | 0 / 0 | -0.0617844 / 0.0617844 |
 | Flavor response | -0.000284959 / 0.000284959 | 0.000291777 / -0.000291777 | 0.00415902 / -0.00415902 | 0.00448863 / -0.00448863 | 0.00472051 / -0.00472051 | -0.0395908 / 0.0395908 | -0.0395669 / 0.0395669 | -0.0515549 / 0.0515549 | -0.0327542 / 0.0327542 | -0.0346296 / 0.0346296 | -0.00923586 / 0.00923586 | -0.0301814 / 0.0301814 | -0.0392074 / 0.0392074 | 0.0405723 / -0.0405723 | 0 / 0 | 0 / 0 | -0.000901848 / 0.000901848 |
 | Pile-up offset mu term | -1.84367e-05 / 1.84367e-05 | -2.20528e-05 / 2.20528e-05 | 0.000167508 / -0.000167508 | -0.000221982 / 0.000221982 | -0.00159049 / 0.00159049 | -0.0051481 / 0.0051481 | 0.00253376 / -0.00253376 | -0.00205552 / 0.00205552 | -0.00581564 / 0.00581564 | 0.000536352 / -0.000536352 | -0.00131914 / 0.00131914 | -0.0266762 / 0.0266762 | -0.000548087 / 0.000548087 | 1.81183e-05 / -1.81183e-05 | 0 / 0 | 0 / 0 | -0.0172808 / 0.0172808 |
 | Pile-up offset NPV term | 0.0151694 / -0.0151694 | 0.0044342 / -0.0044342 | 0.000208295 / -0.000208295 | -0.00292686 / 0.00292686 | -0.000949811 / 0.000949811 | 0.0161825 / -0.0161825 | 0.0214417 / -0.0214417 | 0.0137016 / -0.0137016 | 0.0132321 / -0.0132321 | 0.00601524 / -0.00601524 | 0.00471219 / -0.00471219 | -0.00214022 / 0.00214022 | -0.0238415 / 0.0238415 | -0.0258691 / 0.0258691 | 0 / 0 | 0 / 0 | -0.0196632 / 0.0196632 |
 | Pile-up offset p_{T} term | 7.87377e-05 / -7.87377e-05 | 0.000428022 / -0.000428022 | 0.000153794 / -0.000153794 | -9.01357e-05 / 9.01357e-05 | 0.000120316 / -0.000120316 | -0.000108257 / 0.000108257 | 0.0014245 / -0.0014245 | 0.00145485 / -0.00145485 | -0.00049456 / 0.00049456 | 0.000171521 / -0.000171521 | 0.000923512 / -0.000923512 | 0.000361979 / -0.000361979 | 0.00122892 / -0.00122892 | -0.000309555 / 0.000309555 | 0 / 0 | 0 / 0 | -8.48083e-05 / 8.48083e-05 |
 | #rho topology | 0.162049 / -0.162049 | 0.0261697 / -0.0261697 | -0.00583257 / 0.00583257 | -0.00206342 / 0.00206342 | -0.0106441 / 0.0106441 | 0.0827816 / -0.0827816 | 0.0731606 / -0.0731606 | 0.0661947 / -0.0661947 | 0.0711246 / -0.0711246 | 0.054486 / -0.054486 | 0.00899187 / -0.00899187 | 0.0425839 / -0.0425839 | 0.0332834 / -0.0332834 | -0.015917 / 0.015917 | 0 / 0 | 0 / 0 | -0.0159348 / 0.0159348 |
 | Punch-through correction | 0 / 0 | 0 / 0 | -1.71437e-07 / 1.71437e-07 | 0 / 0 | -1.15238e-07 / 1.15238e-07 | 2.65404e-05 / -2.65404e-05 | 8.00709e-06 / -8.00709e-06 | -1.20098e-07 / 1.20098e-07 | 1.89942e-05 / -1.89942e-05 | 4.12902e-06 / -4.12902e-06 | -6.79411e-07 / 6.79411e-07 | 0 / 0 | -4.08974e-07 / 4.08974e-07 | -2.79635e-05 / 2.79635e-05 | 0 / 0 | 0 / 0 | -0 / -0 |
 | High-p_{T} term | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | JER | -0.351314 / 0.351314 | 0.0150802 / -0.0150802 | -0.0218199 / 0.0218199 | -0.00851553 / 0.00851553 | -0.0150151 / 0.0150151 | 0.0481683 / -0.0481683 | 0.000527352 / -0.000527352 | -0.0224984 / 0.0224984 | 0.0768676 / -0.0768676 | -0.00319695 / 0.00319695 | -0.0353005 / 0.0353005 | 0.0218716 / -0.0218716 | -0.0475314 / 0.0475314 | -0.00191072 / 0.00191072 | 0 / 0 | 0 / 0 | -0.0265428 / 0.0265428 |
 | MET TST reso. para. | 0 / 0 | 0 / 0 | -4.65804e-05 / 4.65804e-05 | 0.00013 / -0.00013 | 6.89801e-05 / -6.89801e-05 | -5.72545e-05 / 5.72545e-05 | 0 / 0 | 0 / 0 | 0.000808435 / -0.000808435 | -0.00173823 / 0.00173823 | -2.0653e-05 / 2.0653e-05 | 0 / 0 | 0 / 0 | 0.0203971 / -0.0203971 | 0 / 0 | 0 / 0 | -4.13488e-08 / 4.13488e-08 |
 | MET TST reso. perp. | 0 / 0 | 0 / 0 | -0.00103429 / 0.00103429 | 0.000179802 / -0.000179802 | 6.90586e-05 / -6.90586e-05 | -2.68878e-05 / 2.68878e-05 | 0 / 0 | 0 / 0 | 0.000587771 / -0.000587771 | -0.00174791 / 0.00174791 | -2.0802e-05 / 2.0802e-05 | 0 / 0 | 0 / 0 | 0.0204786 / -0.0204786 | 0 / 0 | 0 / 0 | -0 / -0 |
 | MET TST scale | 0 / 0 | 0 / 0 | -0.000191752 / 0.000191752 | 2.87382e-06 / -2.87382e-06 | 7.18675e-08 / -7.18675e-08 | 4.28838e-06 / -4.28838e-06 | 0 / 0 | 0 / 0 | -7.8961e-05 / 7.8961e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 c generator | 0 / 0 | 0.0880576 / -0.0880576 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 c PS & Had | 0 / 0 | 0.0791004 / -0.0791004 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 c ISR/FSR | 0 / 0 | -0.0316519 / 0.0316519 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+c#bar{c} norm. | 0 / 0 | 0.439164 / -0.439164 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | ttbbNorm | 0 / 0 | 0 / 0 | 0.1336 / -0.1336 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 b generator | 0 / 0 | 0 / 0 | -0.0590026 / 0.0590026 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 b PS & Had | 0 / 0 | 0 / 0 | 0.000538083 / -0.000538083 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 b ISR/FSR | 0 / 0 | 0 / 0 | -0.0454236 / 0.0454236 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+#geq 1 b 5F vs 4F | 0 / 0 | 0 / 0 | 0.0959611 / -0.0959611 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} scale | 0 / 0 | 0 / 0 | -0.0299463 / 0.0299463 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} CSS KIN | 0 / 0 | 0 / 0 | 0.0490468 / -0.0490468 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} MSTW | 0 / 0 | 0 / 0 | 0.00353625 / -0.00353625 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} NNPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} Q CMMPS | 0 / 0 | 0 / 0 | -0.0227967 / 0.0227967 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} glo soft | 0 / 0 | 0 / 0 | -0.0315482 / 0.0315482 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | t#bar{t}+b#bar{b} UE modeling | 0 / 0 | 0 / 0 | -0.010997 / 0.010997 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | topEW norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0.148957 / -0.148957 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | ttH norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.10414 / -0.10414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | V+jets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.285913 / -0.285913 | 0.285913 / -0.285913 | 0.285913 / -0.285913 | 0.285913 / -0.285913 | 0.285913 / -0.285913 | 0.285913 / -0.285913 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | V+cjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.298018 / -0.298018 | 0 / 0 | 0 / 0 | 0.298018 / -0.298018 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | V+bjets norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.285632 / -0.285632 | 0 / 0 | 0 / 0 | 0.285632 / -0.285632 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Single top tW dia. sub. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.141328 / 0.141328 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Single top s-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00322643 / -0.00322643 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Single top t-chan. rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.113124 / -0.113124 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Single top tW rad. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0325047 / -0.0325047 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Single-top norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0447522 / -0.0447522 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Dibosons norm. 5j | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.417243 / -0.417243 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | SM 4tops norm. | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.297935 / -0.297935 | 0 / 0 | 0 / 0 | -0 / -0 |
 | QCDE norm. 5j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.490622 / -0.490622 | 0 / 0 | -0 / -0 |
 | QCDMU norm. 5j4b | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.496824 / -0.496824 | -0 / -0 |
