NUISANCE_PARAMETERS
gamma_stat_c1lep6jin3bex_bin_1  1.00702 +0.0185685 -0.0185685
gamma_stat_c1lep6jin3bex_bin_2  1.01528 +0.0195357 -0.0195357
gamma_stat_c1lep6jin3bex_bin_3  0.984122 +0.0186176 -0.0186176
gamma_stat_c1lep6jin3bex_bin_4  1.01613 +0.018207 -0.018207
gamma_stat_c1lep6jin3bex_bin_5  1.00026 +0.0190338 -0.0190338
gamma_stat_c1lep6jin3bex_bin_6  1.01232 +0.0208727 -0.0208727
gamma_stat_c1lep6jin3bex_bin_7  1.00419 +0.027037 -0.027037
gamma_stat_c1lep6jin3bex_bin_8  0.98581 +0.0412842 -0.0412842
gamma_stat_c1lep6jin3bex_bin_9  0.930072 +0.0800094 -0.0800094
gamma_stat_c1lep6jin4bin_bin_0  0.996957 +0.0254104 -0.0254104
gamma_stat_c1lep6jin4bin_bin_1  0.971049 +0.0476369 -0.0476369
ttbbNorm  1.16267 +0.14421 -0.14421


CORRELATION_MATRIX
147   147
-0.0075708   -0.00998278   -0.00731377   -0.00904177   -0.00540344   0.00905306   0.00231163   0.0110221   0.00983966   0.0169984   0.0128635   0.0160254   -0.0286402   -0.00249997   -0.010655   0.00746473   -0.00197042   0.00121478   -0.00568199   -0.000621217   0.00102856   -0.00390399   0.00124788   0.00833346   0.0164003   -0.0214478   -0.000648565   -0.00915407   -7.76784e-05   -0.000895437   -0.00136911   -0.00364822   -0.00694592   -0.00275919   -0.00258924   -0.00678538   -0.00304156   -0.000119205   0.0155871   0.00185462   0.00333002   0.002572   0.0177878   -0.00269297   -0.00227733   -0.0428477   -0.00426964   -0.0104405   0.00668868   0.00724217   0.00272695   0.00709953   0.00078215   0.000276707   0.000597393   -9.29588e-09   9.12022e-09   -1.85918e-09   -1.26919e-06   -3.58873e-06   -7.22515e-07   -6.84923e-06   1.49387e-06   -0.00598169   0.000178991   0.00021715   0.00703341   -0.00396232   2.43206e-06   -0.0231837   -0.0198337   6.51054e-08   0.000874005   0.0145482   -0.000585052   -1.47198e-05   0.00175581   0.00173544   0.00362211   0.00637648   0.00464609   -0.00333477   0.00505986   -0.00159368   -0.00156945   -8.56489e-06   -0.000584264   0.00502719   -0.000475715   -0.00114944   0.0050233   -0.00241467   -2.3674e-08   0.000676998   -0.00112999   -0.00172698   -0.00730843   0.00302065   -0.00653326   0.0122469   -0.0129544   -0.00167666   -0.00265743   -0.00673642   -0.002325   -0.00368291   0.0173454   0.00421941   1.92327e-06   7.70105e-07   2.20126e-07   -9.87294e-05   1.67022e-06   1.14997e-06   1.18668e-06   -9.59098e-05   -4.54241e-05   0.00259577   0.00240699   0.000615784   3.54075e-06   0.00540124   -0.000267603   0.00557806   0.00225259   -0.0144061   -0.00600794   0.0156221   0.00389446   0.00048696   0.00312838   1.18095e-06   -3.25858e-05   -9.90784e-06   -2.40815e-06   0.000553815   -0.000531747   -0.00146407   0.000779498   -3.36441e-06   -1.02342e-06   8.16901e-07   -0.000106079   -0.000127129   0.000284169   -0.000418801   1   
-0.0248954   -0.00102825   0.00396113   0.00185843   0.00283498   0.00341531   0.00231044   -0.0024404   -0.00244994   -0.00188809   -0.00249466   -0.00175267   -0.000838249   0.000318928   -0.00414541   0.00283367   0.00228768   0.00459316   0.00657959   0.00504139   0.000174008   -0.00184695   -0.00400093   -0.00416873   -0.00282834   -0.00175285   0.000781048   0.00342198   -0.0148025   -0.0408548   -0.025592   -0.000888914   -0.0188589   0.0319211   0.0243471   -0.0307275   0.00826728   0.00516506   0.00901051   -0.000119834   0.006069   -0.0039349   -0.0184713   -0.00436848   -0.00672644   0.00919932   -0.000107444   0.000359599   0.00380525   0.0188259   -0.0140727   0.00808278   5.23007e-05   -0.000102633   0.000281937   3.16039e-09   -8.58301e-09   6.32079e-10   4.04421e-07   -6.88668e-06   -6.36401e-07   -6.1045e-07   2.9744e-06   -0.000289331   -6.12517e-05   0.0019551   -0.00145727   0.00244015   3.45941e-06   -0.00264512   0.0109567   -2.70323e-08   0.00125069   -0.0049643   -0.00514865   4.69824e-05   -0.00357287   -0.00344782   -0.000973357   -0.00095865   -0.00126596   0.00110412   -0.000903893   0.00354782   -0.000232151   -6.97366e-05   -0.000280686   -0.00135425   8.17956e-05   0.00062231   -6.78841e-05   0.000300154   -7.38004e-08   -0.00142437   0.00129448   -0.00122861   -0.00740937   -0.000202455   0.00058128   -0.00424181   0.00164185   -0.00065286   -7.22997e-05   0.00761064   -0.00749646   -0.010777   -0.00090376   0.0039245   2.02758e-06   1.65224e-06   3.40804e-09   6.61071e-05   1.99877e-06   2.74824e-06   2.43116e-05   8.58652e-05   -0.000197258   0.000620156   0.00260898   -8.75463e-05   2.47987e-06   0.00106588   -0.000778363   -0.00215526   -0.00100154   0.000138818   -0.000724431   0.0102233   -0.000541838   -0.000219124   0.00463505   -2.92261e-06   6.52476e-05   -8.19777e-06   -1.32585e-06   0.000527575   -0.000524809   0.000784795   0.00333617   -1.61977e-06   -1.56488e-06   5.29792e-07   1.77275e-06   0.000205496   -0.000353238   1   -0.000418801   
0.00501814   0.00161768   -0.000569816   0.000570396   0.000804925   0.000500248   -0.00039452   2.95426e-05   -0.00104645   -0.000956107   -0.000619337   -0.000303303   0.000212965   -0.0003281   0.00165139   0.00031388   -0.000165044   0.000761882   0.000847895   0.00100397   0.000675544   -0.000340682   -1.73893e-05   0.000516192   0.000674993   0.00186752   0.000959627   -0.00212149   -0.00231571   -0.00529779   -0.000381578   -0.00254323   0.00149148   0.00095848   0.000304858   -3.7087e-05   0.000665293   -0.00078123   -0.0020394   -0.000744177   0.00191364   -0.000952547   0.00412247   -0.00141938   -0.00272603   -0.00305063   0.00109421   -0.00262049   -0.000758375   0.00219466   -0.00111996   -0.00344582   6.07442e-05   -5.5466e-05   -0.000326111   -1.25662e-08   8.84525e-10   -2.51323e-09   1.62586e-06   5.69021e-07   -1.34983e-07   5.09757e-07   8.31667e-07   5.34087e-05   0.000147948   -0.000415845   0.000131151   -0.000100676   7.61969e-07   0.000616176   -0.00526228   -2.25915e-09   -0.000932389   0.000674684   0.00706009   -2.57812e-05   -0.00289087   -0.00263186   -6.51261e-05   -5.47191e-05   0.000187952   1.04322e-05   0.000266076   -0.000295337   0.000244417   -1.15707e-05   2.98338e-05   0.000150896   -1.73635e-05   -8.94803e-05   -0.000148849   -0.000315911   6.15391e-09   0.000424622   0.00158609   -0.000690359   -0.00142315   -0.00121408   0.000591845   -0.00124209   -0.00169547   0.000260059   0.0031971   0.00948545   -0.00183414   -0.00600601   -0.00695374   0.00281103   4.00214e-07   -1.98736e-07   9.34739e-07   9.42e-05   5.25798e-07   3.75475e-07   1.93769e-05   0.000113918   1.21337e-05   -0.000458659   -0.00156678   -0.000549496   1.05218e-06   0.00148901   -0.000158283   -7.42836e-05   -0.000379088   0.00161499   -0.00011729   0.00388383   -0.000382379   -0.000502911   -0.000507423   5.078e-06   0.00032129   -1.71069e-06   6.69429e-07   -3.3668e-05   3.43486e-05   0.000886503   0.00182957   2.78326e-06   1.43189e-06   6.17273e-07   -0.000107794   0.00027551   1   -0.000353238   0.000284169   
-0.00212433   0.000480144   0.000528343   -0.000500569   -0.000657001   -0.000337875   0.000480588   0.000423078   0.000335262   0.000245513   0.000478236   -6.01654e-05   -0.000564677   0.00114978   -0.00195258   -0.000734835   -0.00380748   -0.000739224   -0.000545864   0.000265469   -1.43993e-05   0.000648966   0.000935674   -0.000776094   -0.00198317   -0.000991616   -0.00208205   0.000687338   0.00204916   0.00204176   0.00156646   0.00123449   1.38408e-05   -0.000134286   -0.000445319   -0.00127461   -0.000790277   -0.000747614   0.00321168   0.000857688   0.00375681   0.00543834   -0.0121719   0.00353798   0.00269704   -0.00108686   -0.00238232   0.00292864   0.00426242   -0.00347202   -0.000239898   -0.000665821   5.38597e-05   4.29227e-05   0.000126023   -1.87884e-09   4.55986e-09   -3.75769e-10   -2.58051e-08   -9.10256e-07   -4.45229e-07   -5.76913e-06   -1.90046e-07   -5.78078e-05   -7.55004e-05   0.000220084   -0.000513995   0.000173819   -8.14827e-07   -0.00057335   0.00300088   -6.116e-08   -0.000276368   -0.000259945   -0.00284235   -1.33033e-05   0.00132965   0.00118366   -2.16336e-05   0.000112524   -0.000170736   0.000211841   -0.000109919   0.000471843   2.00956e-07   1.05289e-05   0.000122058   0.000428844   3.15775e-05   8.30074e-05   2.78868e-05   0.00111245   -4.30552e-08   -0.000210226   -0.00344912   0.000387711   0.000986402   0.00138582   0.000360981   -4.25058e-05   0.0059734   -0.000307437   -0.00333066   -0.0206213   0.00132675   0.00532164   0.00801132   -0.00177203   -6.56727e-08   -5.78985e-07   -1.92891e-07   -0.000230429   -1.39048e-07   -1.6384e-07   -1.65488e-05   -0.000246578   -5.22478e-05   0.000654375   8.51602e-05   0.00148163   -3.21516e-07   0.000921573   1.1871e-06   -0.000118389   0.000218646   0.000782233   -0.00136518   3.02893e-05   0.000114235   0.000150844   0.00165818   -8.91531e-07   1.78791e-05   1.11352e-06   -1.09545e-06   3.58916e-05   -3.52944e-05   -0.00170952   0.000460619   -4.76371e-07   -8.25251e-07   -2.95199e-07   0.000285323   1   0.00027551   0.000205496   -0.000127129   
0.00273191   -0.0027071   -0.000462605   0.00157103   -0.00130429   -0.000625626   0.000590822   0.00129612   0.00127438   0.000791166   -0.000777111   0.000904966   -0.000450464   -0.00131882   0.000728707   0.000524703   -0.000353273   -0.000348859   -0.000528291   0.000335354   0.00118121   0.000926234   0.000413251   4.64374e-05   9.56077e-05   8.03174e-05   0.00130066   -0.00129942   -0.00120559   -0.000828541   0.000152299   -0.000194152   -7.34164e-05   -0.00111374   -0.000794887   -0.000289088   -0.000354973   0.000290413   -0.00068783   -0.000205207   -0.00757588   -0.00453635   0.00560393   -0.0031151   -0.00250159   0.00048597   0.000561499   -0.000566177   0.000258964   0.000468451   0.00201281   0.00155576   -6.89899e-05   -6.12958e-05   1.06113e-05   -1.35118e-09   2.13187e-09   -2.70237e-10   1.1214e-07   5.88038e-07   1.04255e-07   1.1778e-07   1.15113e-08   1.81564e-05   -0.000146338   -7.79508e-05   0.000565021   -3.3793e-05   -5.90062e-07   -0.00152525   0.000480239   -8.12018e-09   0.000729992   0.000599294   0.00332204   1.12338e-05   -0.000186816   -0.000124949   0.0003817   0.000685447   0.000500975   -0.00038019   0.000557308   -0.00128308   -0.00026797   -6.74298e-06   -0.000227739   0.000210962   -2.41939e-05   -7.26087e-05   0.000134751   -0.00127269   -3.78182e-09   0.000333112   0.00215606   -0.000396056   -0.00132243   -0.00032689   -0.00136586   0.0015427   -0.00685746   0.000114713   0.000943253   0.0129099   -0.00100368   -0.00379923   -0.00188546   0.0017993   5.8624e-08   2.00381e-07   7.06897e-08   0.000130847   3.66515e-08   9.65443e-08   8.62555e-06   0.000149911   2.25193e-05   -0.000399919   0.000245292   -0.00129359   7.78753e-06   -0.00251255   -2.23553e-06   -8.17453e-05   -4.88377e-05   -0.00063471   0.000772328   -0.00454871   7.0854e-05   9.89925e-05   -0.00147998   3.77911e-07   2.38562e-05   -3.21075e-06   7.02635e-07   -2.85787e-06   1.29869e-05   0.00161431   -0.00210844   1.67178e-08   1.12643e-06   6.25045e-07   1   0.000285323   -0.000107794   1.77275e-06   -0.000106079   
