 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.00430976 / 0.00430976 | -0.00194377 / 0.00194377 | -0.00178105 / 0.00178105 | -0.00225033 / 0.00225033 | -0.000887111 / 0.000887111 | -0.863472 / 0.863472 | -0.21148 / 0.21148 | -0.00101512 / 0.00101512 | -0.825182 / 0.825182 | -0.195972 / 0.195972 | -0.00782352 / 0.00782352 | -0.00599272 / 0.00599272 | -0.00278567 / 0.00278567 | 0.00171875 / -0.00171875 | 0 / 0 | 0 / 0 | -0.005208 / 0.005208 |
 | btag L EV 1 | 1.50163e-05 / -1.50163e-05 | 7.01253e-05 / -7.01253e-05 | -5.4929e-06 / 5.4929e-06 | 5.33959e-05 / -5.33959e-05 | -1.39621e-05 / 1.39621e-05 | 0.0016282 / -0.0016282 | 0.000226507 / -0.000226507 | 8.28203e-05 / -8.28203e-05 | 0.00207436 / -0.00207436 | -0.000285742 / 0.000285742 | -0.000201971 / 0.000201971 | -2.38704e-06 / 2.38704e-06 | 3.18203e-05 / -3.18203e-05 | -1.90267e-05 / 1.90267e-05 | 0 / 0 | 0 / 0 | 1.96439e-05 / -1.96439e-05 |
 | btag L EV 2 | 8.70261e-06 / -8.70261e-06 | 2.04782e-05 / -2.04782e-05 | 5.00713e-06 / -5.00713e-06 | 2.87644e-05 / -2.87644e-05 | 5.48706e-06 / -5.48706e-06 | 0.000698931 / -0.000698931 | 0.000456503 / -0.000456503 | 7.88202e-05 / -7.88202e-05 | 8.39487e-05 / -8.39487e-05 | 0.000114467 / -0.000114467 | -2.39512e-05 / 2.39512e-05 | 1.79635e-05 / -1.79635e-05 | -0.00126854 / 0.00126854 | 1.3597e-05 / -1.3597e-05 | 0 / 0 | 0 / 0 | 1.55609e-05 / -1.55609e-05 |
 | btag L EV 3 | 1.10916e-06 / -1.10916e-06 | 2.03858e-05 / -2.03858e-05 | 1.38257e-06 / -1.38257e-06 | 1.24324e-05 / -1.24324e-05 | -3.53128e-06 / 3.53128e-06 | -0.00109418 / 0.00109418 | -5.12593e-05 / 5.12593e-05 | 0.000276007 / -0.000276007 | -0.000931594 / 0.000931594 | -0.000447855 / 0.000447855 | 0.000660272 / -0.000660272 | -1.91368e-05 / 1.91368e-05 | -0.000127857 / 0.000127857 | -3.28519e-06 / 3.28519e-06 | 0 / 0 | 0 / 0 | 1.55039e-05 / -1.55039e-05 |
 | btag L EV 4 | -7.67878e-07 / 7.67878e-07 | 1.89528e-06 / -1.89528e-06 | 4.52137e-06 / -4.52137e-06 | -3.83304e-06 / 3.83304e-06 | -1.90146e-06 / 1.90146e-06 | 0.000239906 / -0.000239906 | 0.000131986 / -0.000131986 | 0.000118958 / -0.000118958 | 0.0003475 / -0.0003475 | 3.78727e-05 / -3.78727e-05 | 0.000111384 / -0.000111384 | 1.17734e-05 / -1.17734e-05 | -2.23647e-05 / 2.23647e-05 | 6.34224e-06 / -6.34224e-06 | 0 / 0 | 0 / 0 | -2.73495e-06 / 2.73495e-06 |
 | btag L EV 5 | 0 / 0 | -3.55942e-06 / 3.55942e-06 | -1.30783e-06 / 1.30783e-06 | -9.33261e-07 / 9.33261e-07 | 2.17309e-06 / -2.17309e-06 | -0.00062393 / 0.00062393 | -8.41619e-05 / 8.41619e-05 | -2.37733e-05 / 2.37733e-05 | -0.000164291 / 0.000164291 | -5.09721e-05 / 5.09721e-05 | -0.000102374 / 0.000102374 | -3.31758e-06 / 3.31758e-06 | 2.66814e-05 / -2.66814e-05 | 4.06086e-06 / -4.06086e-06 | 0 / 0 | 0 / 0 | 1.00803e-05 / -1.00803e-05 |
 | btag L EV 6 | 3.41279e-07 / -3.41279e-07 | -4.85376e-06 / 4.85376e-06 | -1.9057e-06 / 1.9057e-06 | -2.26649e-06 / 2.26649e-06 | 2.11877e-06 / -2.11877e-06 | 0.000249047 / -0.000249047 | 5.19571e-05 / -5.19571e-05 | 1.27276e-06 / -1.27276e-06 | 0.000457816 / -0.000457816 | -5.36191e-06 / 5.36191e-06 | 3.02581e-05 / -3.02581e-05 | 7.64661e-06 / -7.64661e-06 | 0.00012058 / -0.00012058 | 2.28138e-07 / -2.28138e-07 | 0 / 0 | 0 / 0 | -3.78464e-06 / 3.78464e-06 |
