NUISANCE_PARAMETERS
SigXsecOverSM  0.033694 +0.568937 -0.568937
gamma_stat_c1lep6jin3bex_bin_1  1.007 +0.0185701 -0.0185701
gamma_stat_c1lep6jin3bex_bin_2  1.0153 +0.0195357 -0.0195357
gamma_stat_c1lep6jin3bex_bin_3  0.984176 +0.0186365 -0.0186365
gamma_stat_c1lep6jin3bex_bin_4  1.0162 +0.0182463 -0.0182463
gamma_stat_c1lep6jin3bex_bin_5  1.0003 +0.0190324 -0.0190324
gamma_stat_c1lep6jin3bex_bin_6  1.01227 +0.0208927 -0.0208927
gamma_stat_c1lep6jin3bex_bin_7  1.00428 +0.0270923 -0.0270923
gamma_stat_c1lep6jin3bex_bin_8  0.985658 +0.0413286 -0.0413286
gamma_stat_c1lep6jin3bex_bin_9  0.929487 +0.0805543 -0.0805543
gamma_stat_c1lep6jin4bin_bin_0  0.996943 +0.0254029 -0.0254029
gamma_stat_c1lep6jin4bin_bin_1  0.971278 +0.047782 -0.047782
ttbbNorm  1.15975 +0.152125 -0.152125


CORRELATION_MATRIX
148   148
-0.32833   0.0737926   -0.00996707   -0.12195   -0.057587   0.0625286   -0.0436183   0.0336487   0.0670045   0.046211   0.0159532   -0.0118992   -0.113434   -0.00351096   -0.0138614   -0.0299307   -0.34012   -0.233442   -0.0370272   0.0573404   0.0485037   0.0234601   -0.0187811   0.0139603   0.0679222   0.0953341   0.0196233   -0.135923   -0.0146859   -0.394321   -0.318239   0.0458377   0.0107044   0.0302495   -0.056753   -0.0161377   0.0365675   0.154757   0.0640515   0.00429824   0.100852   -0.171129   -0.524175   -0.0744083   -0.0141394   0.235008   0.103246   -0.190182   0.0836595   0.339242   -0.0156552   0.196074   0.000971185   0.000469955   0.00658593   0.0692832   0.121302   0.107705   2.30407e-05   -2.19221e-05   9.84853e-08   2.18349e-05   2.32335e-05   0.0251341   -0.000862691   0.0262365   -0.000746868   -0.000531967   3.4447e-05   0.111624   0.660907   1.45738e-07   0.0285905   -0.0260411   -0.118917   0.00113917   -0.0482357   -0.0485961   0.00486295   0.0245996   0.019651   0.00610118   0.032123   0.00559375   -0.0166261   -7.24425e-05   -0.00461319   -0.0231978   -0.00216982   -0.00156817   0.00225168   -0.00334364   7.11551e-08   0.0268884   0.0320734   -0.0274634   -0.12545   0.00672684   0.0313896   -0.100224   -0.0184066   -0.00217529   -0.0964297   0.188563   -0.0422866   -0.119832   0.0374865   -0.00288076   2.07911e-05   3.44931e-05   -3.97402e-06   0.00198656   2.05771e-05   1.85409e-05   0.000630531   0.00211437   0.0207829   -0.00435141   0.0636073   -0.00191671   1.49278e-05   0.153814   0.000775284   -0.0417347   -0.0197091   0.205177   -0.0721269   0.324565   -0.00826475   0.0134924   0.0475878   -3.48839e-06   -0.000217348   1.57227e-05   1.21488e-05   0.0069887   -0.006695   0.0344468   0.0434982   1.24598e-07   2.1853e-05   1.94832e-05   -0.000971448   0.00185436   -0.00282349   -0.0382514   -0.0113521   1   
-0.00388368   -0.0106174   -0.00698367   -0.00735245   -0.00448115   0.0085544   0.00286118   0.0103683   0.00897367   0.0165078   0.0125447   0.0161691   -0.0273273   -0.00242156   -0.0106363   0.00790038   0.0020366   0.00374958   -0.0052195   -0.0011301   0.000654842   -0.00390709   0.00138401   0.00802715   0.0154067   -0.0226563   -0.000950532   -0.00765715   0.000108228   0.0035735   0.00239306   -0.00408624   -0.00677823   -0.00311796   -0.00198308   -0.00662526   -0.00362333   -0.00203322   0.0149305   0.00175938   0.00158518   0.00325766   0.021039   -0.00194868   -0.00160304   -0.0433895   -0.00553373   -0.00798377   0.00566633   0.00286737   0.00324481   0.00368311   0.000814265   0.000263935   0.000451399   -0.000693998   -0.00134349   -0.001273   1.86624e-06   -1.83307e-06   -1.91224e-08   2.49948e-06   1.84961e-06   -0.00623254   0.000174654   6.17845e-05   0.00708672   -0.00366669   -4.10486e-07   -0.0240792   -0.0222553   5.92748e-08   0.000435987   0.0148512   0.000387226   -5.67767e-05   0.0018962   0.00190866   0.00345083   0.00588079   0.00420865   -0.00331233   0.00444971   -0.00106481   -0.00138533   -7.66142e-06   -0.000496881   0.00554828   -0.000450522   -0.00109688   0.0050108   -0.00234815   3.27935e-08   0.000360978   -0.00153885   -0.00143033   -0.00569276   0.00288715   -0.00675863   0.0131704   -0.0125106   -0.00167291   -0.00167279   -0.00910872   -0.00185674   -0.00211002   0.0167372   0.00425352   1.79198e-06   1.06351e-06   2.27005e-07   -9.59958e-05   1.50143e-06   1.92235e-06   3.12491e-05   -0.0001141   -0.000274245   0.0026923   0.00191232   0.000645191   8.04008e-09   0.00341423   -0.000353933   0.00599871   0.0024277   -0.0163548   -0.00539904   0.0108133   0.00392695   0.000315986   0.00257204   3.21927e-07   -0.000353722   -2.17309e-06   -5.74001e-07   0.000469609   -0.000465356   -0.00183977   1.50278e-05   1.72442e-07   -1.37869e-06   1.20084e-06   -0.000101473   -0.000147861   0.000285558   1.59533e-05   1   -0.0113521   
-0.0107878   -0.00370327   0.00418146   0.00646887   0.00502295   0.00103956   0.00399681   -0.00364556   -0.00498668   -0.00369633   -0.00310547   -0.00135502   0.00351536   0.000474036   -0.00349871   0.00403976   0.0151602   0.0134731   0.00807352   0.00288985   -0.00165023   -0.00276849   -0.00331662   -0.00473216   -0.0054492   -0.00543444   3.28852e-05   0.00859572   -0.0140989   -0.0223493   -0.0120701   -0.00265542   -0.0192011   0.0305816   0.0263194   -0.0300479   0.00686502   -0.000812704   0.00649602   -0.000282606   0.00234032   0.00283327   0.00477701   -0.00161755   -0.00633011   4.83737e-05   -0.00423786   0.00719076   0.000814585   0.00449226   -0.0134213   0.000713474   2.31324e-05   -0.000108297   5.54914e-05   -0.00251527   -0.00471829   -0.0041241   2.36328e-06   -2.27171e-06   2.45608e-07   2.62851e-06   2.4366e-06   -0.00124535   -3.5973e-05   0.00096216   -0.00136372   0.00276338   1.84803e-06   -0.00686005   -0.0169408   3.9037e-08   0.000307709   -0.00372239   -0.000524118   -2.97736e-05   -0.00150391   -0.00148757   -0.00114568   -0.00190829   -0.00198208   0.000836308   -0.00211304   0.00326951   0.000414169   -6.58017e-05   -9.17084e-05   -0.000516565   0.000153924   0.000656579   -0.000148853   0.000458597   -3.81724e-09   -0.00246164   -2.06324e-06   -0.000162416   -0.00246604   -0.000408948   -0.000597559   -0.000422368   0.00244273   -0.000550512   0.0036152   0.000255578   -0.00580198   -0.00611469   -0.00238378   0.0040948   2.21863e-06   1.8797e-06   8.49927e-08   9.259e-06   1.85327e-06   2.17657e-06   2.01925e-05   4.18245e-06   -0.000994374   0.00080576   0.000132942   2.64096e-05   -2.60847e-07   -0.00481702   -0.000775995   -0.000563493   -0.000111236   -0.00732181   0.00209907   -0.00266321   -0.000264691   -0.000653602   0.00285784   -1.49604e-07   -5.08234e-05   6.15538e-06   -6.51993e-08   0.000257545   -0.00026601   -0.000463417   0.0019384   -8.94061e-09   -4.78255e-08   4.96639e-07   4.45648e-05   0.000147841   -0.000250447   1   1.59533e-05   -0.0382514   
0.00519464   0.00130026   -0.000339183   0.00102277   0.00118023   0.000444387   -0.000262726   -0.000214073   -0.00125871   -0.00106332   -0.000771864   -0.000234478   0.000512869   -0.000288621   0.00156579   0.000327181   0.00075418   0.0012199   0.000874619   0.000811367   0.000556484   -0.000249336   5.54148e-05   0.000491035   0.00048469   0.00160425   0.000863074   -0.00168244   -0.00229907   -0.00382169   0.000448945   -0.00271556   0.00151873   0.000792778   0.000397856   -1.78474e-05   0.000563661   -0.00122076   -0.00208747   -0.000799476   0.00156464   -0.00133695   0.00541315   -0.00136294   -0.00237705   -0.00283266   0.000897732   -0.00164314   -0.00111381   0.00120453   -0.00112989   -0.00499927   5.57221e-05   -3.55463e-05   -0.000338704   -0.000197304   -0.000351089   -0.000318628   9.97009e-08   -5.29845e-09   4.70464e-08   1.89775e-07   3.13051e-07   -5.31534e-05   0.000154192   -0.000428769   0.000146938   -3.11016e-06   3.32839e-07   0.000527139   -0.00610959   -3.68261e-10   -0.0010609   0.000395363   0.00665887   -5.50252e-05   -0.00248496   -0.00272491   -0.000118456   -0.000171076   5.32254e-05   4.65054e-05   0.000100895   -0.000129722   0.000245404   -1.14555e-05   5.61632e-05   0.000125548   -5.90834e-05   -5.31701e-05   -0.000135618   -0.000279658   9.8741e-09   0.00037457   0.00145646   -0.000607741   -0.00111655   -0.00125505   0.000510208   -0.000957982   -0.00148799   0.000246368   0.00341364   0.00832951   -0.00171801   -0.00570481   -0.00729991   0.00271903   1.35914e-07   1.04956e-07   -1.80022e-07   9.27548e-05   1.62676e-07   3.97215e-07   1.19641e-05   0.000105264   -5.71058e-05   -0.000427858   -0.0020621   -0.000515325   -4.1741e-08   0.00146821   -0.000177543   1.57367e-05   -0.000203738   0.00107001   -0.000102112   0.00195856   -0.000355837   -0.000559711   -0.000586181   -7.24854e-07   -3.00939e-05   8.08226e-07   1.0908e-07   -4.8719e-05   4.69873e-05   0.000732043   0.00146069   -4.19017e-08   -2.06701e-08   -3.66164e-07   -0.000100126   0.000265258   1   -0.000250447   0.000285558   -0.00282349   
-0.00217732   0.000900817   0.000545219   -0.000729569   -0.000902237   -0.000335397   0.00035897   0.000528934   0.000460034   0.000342387   0.000634557   -7.63826e-05   -0.00088878   0.00112818   -0.00205252   -0.000784925   -0.00415074   -0.000989777   -0.000530151   0.000348087   3.43355e-07   0.000663157   0.000931939   -0.000713304   -0.00190934   -0.000966493   -0.00199559   0.000449866   0.00198075   0.00119743   0.000940591   0.00122425   -8.0452e-05   -0.000107095   -0.000408473   -0.00106937   -0.000605892   -0.000391814   0.00314794   0.000855486   0.00388097   0.00612897   -0.0117591   0.00333823   0.00262883   -0.000360386   -0.00229944   0.00255946   0.00453085   -0.00257495   -0.000143594   0.000323594   9.71478e-05   8.04595e-05   0.000146499   0.000141991   0.000239009   0.000207918   -1.12576e-08   6.36881e-08   -8.35512e-08   8.42193e-08   1.68691e-08   6.16475e-05   -6.31539e-05   0.000304835   -0.000449429   0.000404034   9.11936e-08   -0.000279169   0.00388171   3.45044e-08   -0.000117363   4.89789e-05   -0.00232913   1.55655e-05   0.00114997   0.00111298   -5.56214e-05   8.79458e-05   -0.000213413   0.000264236   -0.000135749   0.000739911   -2.67515e-05   1.02776e-05   0.000134641   0.00053033   2.90919e-05   8.56043e-05   4.93042e-06   0.00109758   6.3005e-09   -0.000179419   -0.00328014   0.000335059   0.000798924   0.00139365   0.00056064   -0.000367467   0.00584255   -0.000322826   -0.00349936   -0.0192643   0.00122986   0.00514463   0.00797455   -0.00174037   -5.26371e-08   -4.12159e-08   -1.95097e-08   -0.0001984   -1.41864e-07   -1.5671e-07   -7.78215e-06   -0.000225086   -1.78711e-05   0.000667474   0.000347206   0.00145636   7.80313e-08   0.00118421   4.39992e-05   -0.000173395   0.000149408   0.00103749   -0.00130197   0.000586886   8.6403e-05   0.000183455   0.00176146   7.26381e-08   4.71531e-05   -2.45158e-07   7.25041e-08   4.40854e-05   -4.31285e-05   -0.00157905   0.00069458   5.70792e-09   1.65838e-08   2.83413e-07   0.000287249   1   0.000265258   0.000147841   -0.000147861   0.00185436   
0.0028369   -0.00280365   -0.000466478   0.00170245   -0.00121515   -0.000651482   0.00064584   0.00126942   0.00121331   0.000747681   -0.000827862   0.000906219   -0.000316439   -0.00132122   0.000796201   0.000559487   1.97812e-07   -0.000125174   -0.000496264   0.00030208   0.00115894   0.000918571   0.000431166   1.83268e-05   1.85539e-05   -1.30554e-05   0.00127897   -0.00116313   -0.00118658   -0.00036172   0.000500227   -0.000188501   -6.60486e-05   -0.0011655   -0.000789304   -0.000345957   -0.000445139   0.000109041   -0.000714462   -0.000205018   -0.0076174   -0.00441354   0.00522413   -0.00306006   -0.00248142   0.000190644   0.000502003   -0.000389328   0.000161885   8.65748e-05   0.00199852   0.00139686   -7.2235e-05   -7.55149e-05   8.13788e-06   -6.63802e-05   -0.000117136   -0.000122067   5.40469e-09   3.14287e-08   3.46217e-08   4.83976e-08   -6.26033e-08   -3.3988e-05   -0.000152557   -0.000113985   0.000575765   -0.000119273   2.05557e-07   -0.00165024   -0.000371107   4.6447e-09   0.000694753   0.000571597   0.00341594   5.96276e-06   -0.000151095   -0.000112863   0.000380017   0.000660924   0.000480416   -0.00039345   0.000519408   -0.00129787   -0.000266795   -6.59757e-06   -0.000223319   0.000216657   -1.65143e-05   -7.32005e-05   0.000142616   -0.00128639   2.47988e-09   0.000309255   0.00214659   -0.000369233   -0.00120174   -0.000333083   -0.00141778   0.00166821   -0.0068465   0.000125344   0.00104105   0.0123281   -0.00096054   -0.00371478   -0.00190003   0.00178119   -2.29089e-08   2.7427e-08   1.66687e-08   0.000132813   7.54813e-08   8.29985e-08   7.854e-06   0.000148956   1.38764e-05   -0.000401934   0.000176001   -0.00128339   8.85005e-07   -0.00264595   -7.9048e-06   -5.49349e-05   1.07785e-06   -0.000758447   0.000845493   -0.00458851   9.5576e-05   9.3708e-05   -0.00157354   1.56231e-08   -5.26043e-05   3.42928e-06   6.22937e-07   -9.45586e-06   1.11382e-05   0.00158127   -0.00221742   2.34948e-08   1.12417e-06   4.76505e-07   1   0.000287249   -0.000100126   4.45648e-05   -0.000101473   -0.000971448   
-6.45612e-06   4.99397e-06   -2.24353e-06   -5.14499e-06   -5.36087e-06   -2.66583e-07   -3.75437e-06   -1.2681e-06   -5.97089e-08   -1.03176e-06   2.089e-06   5.30134e-06   3.62993e-06   -1.0937e-07   5.76538e-06   3.01685e-07   -5.17212e-06   -1.63459e-06   2.77663e-06   2.66806e-06   -8.76554e-07   -6.51011e-07   -1.07338e-06   -2.45024e-08   1.56046e-06   2.18148e-06   1.05254e-06   2.05467e-08   4.0722e-06   -5.05694e-06   -2.89724e-06   4.88037e-06   1.89071e-06   7.91766e-07   1.43012e-06   1.12369e-06   9.81562e-07   -2.10686e-06   -1.02679e-05   -3.34263e-07   -8.72435e-08   1.08511e-05   -2.53965e-05   -1.50204e-06   -4.56649e-06   1.10317e-05   2.14981e-06   9.89268e-06   -6.35265e-06   5.06428e-06   5.06085e-06   9.40759e-07   2.85137e-07   -2.0077e-07   -4.24956e-07   1.39277e-06   2.91573e-06   1.65879e-06   -2.2488e-07   2.18047e-07   -6.89497e-09   -5.05544e-09   1.90845e-09   2.01082e-06   -8.76199e-07   -2.03421e-06   4.80183e-07   -2.4969e-06   2.21541e-07   1.54838e-06   1.49335e-05   6.86289e-09   6.48661e-07   4.66877e-06   -1.96906e-07   1.02451e-05   2.85498e-06   8.51432e-06   -6.02849e-07   -1.91826e-06   -8.89157e-08   -1.41374e-07   -5.96744e-07   1.47089e-06   5.73611e-07   1.5379e-08   6.69675e-07   -2.5893e-06   4.58543e-08   -4.3408e-07   -2.00716e-06   -1.02675e-07   7.14566e-12   2.80232e-07   1.65993e-06   5.55034e-07   1.36758e-06   -5.62772e-07   1.42887e-06   4.86467e-07   -5.86356e-07   8.98174e-07   8.20657e-07   1.00464e-05   2.34614e-06   -8.10263e-06   -3.31661e-06   1.06807e-06   8.54392e-09   -2.10991e-07   -2.54175e-07   9.43427e-08   1.52439e-08   -5.35665e-09   -2.22881e-07   -1.23137e-07   5.93854e-07   3.72673e-07   7.46669e-06   -9.45154e-07   8.79697e-07   7.23609e-06   3.37004e-06   -9.3223e-07   -8.45088e-07   1.0043e-05   -4.80874e-07   4.16439e-06   -6.73608e-07   6.06817e-07   -4.12634e-06   -4.39562e-07   1.13714e-07   2.20908e-07   -2.26502e-07   -1.27611e-07   1.54604e-07   2.31574e-06   3.41265e-06   2.00958e-11   2.02243e-06   1   4.76505e-07   2.83413e-07   -3.66164e-07   4.96639e-07   1.20084e-06   1.94832e-05   
2.09376e-05   9.65213e-06   6.00334e-06   3.44621e-06   1.45506e-06   5.73532e-06   2.25264e-06   3.42474e-06   3.25187e-06   4.33606e-06   2.47449e-06   -6.19754e-06   -1.38952e-05   -1.32749e-07   -2.26901e-06   2.67596e-06   -3.21174e-06   -3.27275e-06   1.09606e-06   3.27784e-06   2.01309e-06   -1.3014e-06   -7.8644e-06   -6.00368e-06   -2.46063e-06   4.0621e-06   -2.44364e-07   7.70575e-07   -4.32529e-06   -1.09583e-05   -9.29969e-06   -8.05739e-07   6.31626e-06   4.53858e-06   9.74685e-07   5.29715e-06   9.53576e-07   5.44568e-06   -4.8336e-06   2.43349e-07   2.74919e-06   -5.04249e-06   2.99702e-06   -4.93287e-06   -9.66991e-06   2.84182e-05   -1.27418e-06   -1.2465e-05   1.39527e-05   -4.14832e-06   1.45059e-06   2.24097e-05   2.86537e-06   1.02268e-06   5.28512e-08   2.02675e-06   4.09797e-06   2.63376e-06   -4.38961e-07   2.12435e-07   3.32695e-10   4.40586e-07   2.27351e-07   8.45827e-07   1.10811e-07   5.33105e-06   5.49641e-07   5.85815e-06   2.28639e-07   9.86911e-06   1.94991e-05   1.37689e-08   4.41001e-06   9.25782e-06   4.12578e-05   -5.8807e-06   2.65345e-06   -2.69538e-06   -3.40871e-06   -6.19612e-06   -4.77397e-06   2.82644e-06   -5.00244e-06   2.26001e-05   -1.64147e-07   -1.61936e-08   3.36216e-08   1.04246e-05   4.95992e-07   9.05243e-07   1.63512e-06   -1.17376e-07   6.90534e-09   -1.72086e-06   -1.92154e-07   -4.16118e-07   3.15045e-06   4.26207e-07   5.67471e-06   -1.26664e-05   -6.86405e-07   -3.21673e-07   -7.56403e-06   -2.24365e-06   -2.16595e-06   9.06785e-06   2.3601e-06   6.6414e-07   -2.05742e-07   -4.25051e-07   5.43858e-08   -2.06494e-07   -2.12411e-07   -2.18861e-07   2.23211e-07   -5.09944e-11   1.08807e-06   1.56691e-06   6.01931e-06   1.18878e-06   8.86567e-07   -1.25144e-05   -1.26834e-06   -6.95478e-07   1.38783e-06   -1.16048e-05   5.79865e-06   4.78523e-06   5.35667e-07   1.10578e-06   -1.6348e-06   -6.5378e-07   2.58398e-06   4.48173e-07   1.81766e-09   -1.72145e-07   8.44949e-07   1.07731e-06   -2.91731e-06   6.59819e-09   1   2.02243e-06   1.12417e-06   1.65838e-08   -2.06701e-08   -4.78255e-08   -1.37869e-06   2.1853e-05   
