NUISANCE_PARAMETERS
SigXsecOverSM  -0.0429933 +0.476988 -0.476988
0.00246764   0.000401899   -5.54566e-05   -0.00011945   -0.000120222   8.54431e-05   6.94491e-05   0.000144174   -0.00023005   -5.6022e-05   -0.000103688   -0.000164807   -5.11938e-05   5.1586e-05   -3.14173e-05   4.04239e-05   -0.000526915   -0.000164272   0.000188145   0.000336049   0.000212716   -0.000129547   7.59581e-05   0.000129547   7.31096e-06   0.000320007   -2.57989e-05   -3.26854e-05   0.000205283   -0.000471848   0.000301328   0.000270217   0.000140837   5.12127e-05   -3.3103e-05   -0.000136802   -0.00017589   -8.94081e-06   -0.000422842   -0.000150819   0.00115116   -0.000484715   -0.000363439   0.000218247   -0.000181607   -0.000979258   -0.000193003   -0.000612331   -0.000167433   7.61822e-05   3.01175e-05   -0.00221583   2.39506e-05   1.28787e-06   -0.000151068   3.39664e-05   7.37445e-05   -4.10728e-05   2.14454e-05   -2.11548e-05   1.81958e-05   2.14355e-05   1.09666e-05   -4.02115e-05   -0.000448104   8.3939e-05   -0.000459891   2.50742e-05   -0.000229156   -0.0024258   1.01496e-08   -0.00046092   0.00042857   0.00257001   1   -0.000836615   -0.00102727   -5.21178e-05   -0.000118192   -4.27438e-05   2.94032e-05   -6.12885e-05   0.000180858   0.000104842   1.10621e-06   3.06813e-05   0.000232329   4.95228e-06   -8.48207e-06   -4.23671e-05   5.84349e-05   1.01998e-08   8.90411e-05   -4.98011e-05   1.76851e-05   -4.82243e-05   -0.000301731   0.000174121   -0.000382133   0.000307755   -5.63035e-06   0.000278132   -0.000262228   0.000102795   -0.000499095   -0.0015481   0.000210389   2.11832e-05   2.00688e-05   3.2536e-07   2.11662e-05   2.00008e-05   2.14335e-05   -1.62205e-06   -6.21491e-06   -2.25656e-05   2.45524e-05   -0.00107373   1.81094e-05   -8.61139e-07   0.000391431   -4.21708e-05   -3.46882e-06   5.24706e-05   -0.000351406   -0.000210606   0.000471467   -5.12944e-05   4.01389e-05   -9.0828e-05   -2.57713e-07   -4.14912e-06   2.20791e-06   -1.53033e-05   6.2956e-06   -0.000144253   0.000472553   3.01872e-07   -8.18348e-06   5.59202e-06   1.07715e-05   2.78736e-06   -5.18489e-05   -3.75779e-05   -5.3016e-05   0.000958047   
0.349446   0.178372   0.0389718   0.0123932   -0.0114006   0.00406747   -0.0254701   0.00897188   -0.0362802   0.0196033   0.0424952   -0.00359395   -0.072361   0.00265885   0.0533446   0.0193808   0.0094926   -0.00968421   -0.0478912   -0.0546573   -0.062394   -0.0439524   -0.0031177   0.0329481   0.0227287   -0.0389483   0.00237575   0.0396175   -0.0378002   0.0211617   -0.0189414   -0.0267493   -0.00019757   0.0341475   0.0663112   0.0851942   0.0704712   0.0508128   -0.126311   0.02425   -0.129194   0.0863395   0.197402   -0.0584514   -0.0592233   -0.0474584   -0.0175076   -0.0190812   0.0617658   0.0629878   0.03775   0.432569   0.0216725   0.0104611   0.0158375   -0.000804825   -0.000795896   -0.00296217   -7.37764e-07   1.23874e-05   0.000427377   1.56629e-05   0.00280237   -0.00201081   0.0141322   -0.0114681   0.0505584   -0.000419475   -0.010052   -0.164556   1.19937e-07   0.103448   -0.0848392   1   0.00257001   0.131147   0.130952   -0.0473792   -0.093781   -0.0911111   0.0329374   -0.107587   0.265759   -0.0135548   -9.94747e-05   -0.00194332   -0.0526405   0.0031407   0.00616716   -0.00731722   0.00318805   -3.40594e-08   -0.0134193   0.00355015   0.00468447   0.0621128   0.0389012   0.0944035   -0.0835329   0.0153225   0.00864844   -0.0884878   0.0290905   -0.00837236   0.0705752   0.224722   -0.0135733   3.70392e-07   3.72345e-05   2.42383e-05   1.68506e-05   1.24271e-05   1.99892e-05   -0.000152842   -0.00020181   0.00209884   -0.00516168   0.167853   0.00329511   -2.5363e-06   0.0126361   -0.000838606   -0.000776871   -0.00453434   -0.144771   0.00906512   -0.0458768   0.000159   -0.00511377   -0.0030957   5.06452e-06   0.00085624   5.65806e-05   -0.00351932   0.00352348   -0.00691414   0.0136353   1.64081e-05   -1.28637e-06   8.97491e-06   0.00342405   -0.00284655   0.00727755   -0.0039113   -0.000722526   -0.038352   
0.226173   -0.00961716   0.00241123   0.0288624   0.00352948   -0.0202202   0.00762973   0.0144214   -0.0172574   -0.0730184   -0.0408514   -0.0616185   0.0856451   0.0075953   -0.0190207   0.00146485   0.00674894   0.0165701   -0.0101952   -0.0102971   0.0179609   -0.000900231   -0.0160905   -0.0349476   -0.0383516   0.0384396   0.00292995   0.00992259   -0.00886217   -0.00860396   -0.0299572   -0.0267271   0.0140144   0.0356176   0.0106404   0.0348542   0.0240371   0.0163121   -0.00773419   -3.15535e-05   -0.00125707   0.0415199   -0.0274884   -0.0108519   -0.0345199   0.0478412   -0.0163008   0.00664385   -0.0152097   0.00182787   -0.0532217   0.0993588   -0.00572662   -0.00182492   0.0043955   -0.00112811   -0.00171364   0.00112021   -2.75902e-06   3.59927e-06   6.82807e-05   5.53064e-07   0.0115597   0.000435568   -0.0118905   -0.0188421   -0.0082725   -5.39789e-05   0.0497697   0.0728147   1.30628e-08   0.0109885   1   -0.0848392   0.00042857   0.0322464   0.0304272   0.00289323   0.00704846   0.00825349   -0.00107516   0.0105371   -0.0536397   0.00194131   -4.32253e-06   0.00135036   -0.0343455   0.00134287   0.000389764   -0.0110972   0.00756916   -7.15755e-08   -0.00711957   0.00509078   0.00124762   0.0255615   -0.000218441   -0.00387231   -0.0216459   0.0398201   -0.00309127   -0.0154941   0.0301797   -0.0017611   0.0667181   -0.00117255   -0.0132865   -2.7476e-06   1.81263e-05   4.90044e-06   0.000293758   2.62992e-07   3.49934e-06   2.82553e-05   0.000285673   -0.000314216   0.00293738   0.0387065   0.00130253   3.36781e-06   -0.0203851   -0.00322266   -0.0135262   0.00111608   0.064753   0.0128431   -0.0388588   -0.0137053   -0.00065487   0.00400778   6.54995e-07   0.000251084   -7.21325e-05   -0.000349373   0.000354429   0.00145518   -0.0115075   5.96287e-06   4.56494e-06   3.28541e-06   0.000589354   -0.000297896   0.000609338   -0.00421092   0.0147582   -0.0289343   
-0.054107   0.0135072   -0.00510616   -0.00258381   -0.00357804   0.00216125   0.00243872   -0.00215189   -0.00680958   7.34688e-05   -0.00341631   0.00174267   0.000817202   0.00260234   0.00288517   -0.00431581   -0.0135277   -0.005732   0.0063916   0.00726585   0.00206896   -0.000137255   0.00437956   0.00348479   0.00359381   0.00409286   -0.00224007   0.00097774   0.00348139   -0.0048445   0.00744019   0.00753167   0.000449369   -0.00247282   -0.00359288   -0.0101339   -0.00974248   -0.0057449   0.00435009   -0.00315046   0.0351046   0.00166025   -0.0325267   0.0107   0.0117432   -0.00366486   0.00329821   -0.00396018   -0.00303515   0.00217679   -0.0027099   -0.0557063   1.85925e-05   -0.000750955   -0.00246788   0.00152747   0.00259059   -0.00133765   -3.79109e-06   1.79132e-06   -7.85596e-05   -1.24716e-06   0.000260082   -0.000159064   0.00124529   0.000272685   -0.000763993   6.56876e-05   0.00816531   0.0317258   -1.82557e-08   1   0.0109885   0.103448   -0.00046092   -0.0179754   -0.0189595   0.000168394   0.000531401   0.00187933   0.000167605   0.00227091   -0.0047798   0.00234794   1.52508e-05   0.000720901   0.00459117   -0.00015565   -0.000805849   -0.00111756   0.00262825   -1.24334e-07   0.00271456   -0.00372445   0.000661321   -0.00479101   -0.00519378   0.00499655   -0.00436457   0.0135992   0.000468187   0.00723177   -0.021138   0.00222442   -0.0122737   -0.0295104   0.000961853   -2.40433e-06   -1.85184e-05   1.48218e-07   -0.000184356   -2.52867e-06   1.51868e-07   -2.3847e-05   -0.000239777   -0.000159237   -0.000655618   -0.023417   0.00239866   -8.17378e-07   0.0157428   -0.000153311   0.0029643   -5.94642e-05   0.00276011   -0.00667025   0.0201844   -0.000221393   0.000437345   0.00172724   9.14514e-07   -0.000212549   3.92775e-05   4.84537e-05   -6.68162e-05   -0.00353676   0.0118566   8.70186e-07   -1.10056e-06   -1.23546e-06   0.000606501   -0.000207008   -0.000985443   0.000465021   0.000160979   0.0367678   
5.77911e-07   4.01238e-08   1.11835e-07   -4.77141e-08   -9.4973e-08   -2.85791e-07   -2.30587e-07   -6.80462e-08   -1.29509e-07   6.52705e-08   2.38968e-07   1.15365e-07   -2.2929e-07   1.42497e-08   9.04488e-07   -3.77555e-07   3.72679e-08   -1.7386e-08   5.22698e-08   3.55837e-08   8.93803e-08   2.06717e-08   -1.27617e-07   -3.7298e-08   -2.26805e-08   1.80872e-07   3.76022e-09   2.65237e-08   -2.4141e-07   1.0191e-08   -3.03947e-08   8.00477e-08   1.7895e-07   -5.64018e-08   -1.524e-07   -2.93121e-08   1.19615e-08   7.05767e-08   -1.14802e-07   1.52142e-08   2.57383e-07   -3.68241e-07   1.13962e-07   -1.12148e-07   -2.44757e-07   4.15916e-07   4.59716e-08   2.01183e-07   1.07704e-06   1.19316e-07   3.33428e-07   -1.78058e-07   -6.61635e-09   -1.85748e-09   5.16869e-08   -2.62413e-08   4.7734e-08   -4.522e-08   -2.07748e-11   -8.93994e-09   8.43393e-09   8.95545e-09   1.99052e-08   3.76062e-09   1.46183e-07   -2.5374e-08   6.91044e-08   -8.51903e-09   6.89047e-07   1.86588e-07   1   -1.82557e-08   1.30628e-08   1.19937e-07   1.01496e-08   1.89058e-08   2.17624e-07   1.73997e-08   8.3701e-08   5.33218e-08   3.86687e-08   3.02813e-07   -6.044e-08   -1.10268e-08   7.86805e-09   2.82124e-08   -9.66158e-08   6.76126e-07   7.77417e-09   -7.29573e-08   -1.04057e-08   1.00282e-13   2.1067e-08   2.37088e-08   -2.42956e-09   6.12052e-08   -1.43831e-08   7.05092e-08   -1.90461e-07   7.34836e-08   -5.54956e-08   -4.90481e-08   -5.32992e-08   -9.64503e-08   6.77986e-08   2.25259e-08   -9.371e-08   -1.91808e-11   -2.18582e-10   1.23719e-11   9.35569e-09   -1.77901e-11   -8.96626e-09   3.93755e-10   9.08676e-09   4.71386e-08   -9.35348e-08   1.19179e-07   -3.82148e-08   8.97972e-09   9.49622e-08   9.11342e-08   -7.61713e-08   -1.55933e-07   -2.55276e-07   2.22568e-07   -3.26244e-07   5.5279e-08   -3.01865e-08   -1.23248e-07   1.15004e-11   3.65258e-08   -9.38551e-09   -4.4594e-09   4.72274e-09   7.6936e-08   3.01004e-07   1.10395e-11   9.04778e-12   1.76637e-11   6.15929e-09   7.52536e-09   9.86795e-09   1.44409e-08   6.47397e-08   1.72966e-07   
-0.106127   -0.0541642   -0.03681   -0.136902   -0.209803   -0.0639017   0.123183   0.0574163   0.0914354   0.0986001   0.0868255   -0.0774426   -0.102134   -0.00887183   -0.146297   0.0775929   -0.206526   -0.0741942   0.0819128   0.132363   0.125572   0.0351584   0.034553   -0.0471097   -0.00540592   -0.029752   0.00371949   -0.163737   0.0672725   -0.259624   0.0094406   0.0067819   0.133763   0.106811   0.0562939   0.0648006   -0.0549195   -0.0361331   -0.103709   -0.0168505   -0.00135793   0.0772888   -0.497643   -0.0547985   -0.188264   0.34009   -0.183332   -0.161967   0.0653101   0.144806   0.135304   0.175515   0.00634158   0.00179603   -0.00855998   0.0262854   0.0481474   -0.00984685   -6.65126e-06   -1.0449e-05   -0.00185406   -3.05613e-06   -0.0110019   -0.00145236   -0.0624071   0.0584163   -0.0761077   0.00172092   -0.175978   1   1.86588e-07   0.0317258   0.0728147   -0.164556   -0.0024258   -0.138854   -0.144349   0.0199913   0.0363769   0.0401259   -0.0179445   0.0456913   -0.0537816   0.014204   0.000246062   -1.02673e-05   0.0659934   -0.00244416   -0.00581282   -0.00620229   -0.00867058   -1.88139e-07   0.0224948   0.0063456   -0.030255   0.0521253   -0.0268735   -0.0353148   -0.0673272   -0.0465149   -0.0237536   0.0087433   0.035922   -0.0141796   0.00807314   -0.155847   0.0603328   2.79495e-06   -0.000256807   -2.16347e-06   0.000436549   3.44203e-06   4.525e-06   0.000479555   0.000587789   -0.00189131   0.0290015   0.0448019   0.000231778   1.31862e-05   0.179722   0.00502154   0.0530624   0.040863   -0.00459951   -0.120971   0.191067   -0.0181113   0.00388152   0.0123472   1.55609e-06   -0.00170475   0.000701076   -0.00609949   0.00593889   -0.0188609   0.0816909   -5.79371e-06   1.53701e-05   1.26766e-05   -0.00140961   0.0029541   -0.00524981   -0.00830756   -0.0245536   0.607212   
0.0280387   0.0434516   0.00717994   0.0356269   0.0719548   -0.060847   -0.0589387   0.0999377   -0.011765   -0.0292152   0.0767819   0.143139   -0.166416   -0.00758234   -0.0948639   -0.0532984   -0.051904   -0.00975025   0.0575489   0.0326255   0.0394373   0.0558108   0.00877087   0.0130756   -0.104888   0.0209387   0.00470631   0.255716   -0.0545203   -0.0137857   -0.100542   0.00751756   -0.0304233   -0.0186023   -0.127801   -0.0318026   0.0676764   0.114307   0.0359967   -0.0022497   -0.0173836   -0.0896272   -0.0913665   -0.033314   0.017287   0.16726   0.0278441   -0.0477942   0.13906   0.0734529   -0.0546229   0.0305595   0.00438665   -1.43846e-05   -0.00452669   0.00729093   0.0137224   -0.00632251   -1.88352e-05   7.12527e-07   -0.000792509   -1.03521e-05   -0.0056628   -0.00681486   -0.00573891   0.0868235   0.00653026   0.000687464   1   -0.175978   6.89047e-07   0.00816531   0.0497697   -0.010052   -0.000229156   -0.03041   -0.0347623   0.00622288   0.0221084   0.0164707   0.00676976   0.0250679   0.0207102   -0.00643361   -6.4405e-05   -0.00343595   0.0261334   -0.000596968   0.00115084   0.00948356   -0.0073689   -1.78739e-07   0.00669345   0.007746   0.0535098   -0.0653626   -0.00262338   0.0223525   -0.0122277   -0.0404004   -0.0154003   0.0138823   0.0466727   0.0499926   -0.0276721   -0.0182478   -0.0949295   -2.36554e-05   -9.67744e-05   -1.0332e-06   0.000834917   -2.59261e-05   -1.16303e-05   -0.00113005   0.000509263   -0.00176569   0.00647384   0.00451456   -0.00798896   1.79915e-05   0.00245102   0.00236853   -0.00119438   0.00611692   -0.0988635   -0.0441809   0.0813989   -0.00128376   -0.000659574   0.0121681   7.12678e-06   -0.000185932   1.61233e-05   0.0041989   -0.00369272   0.00820941   -0.0124223   -3.03373e-07   -7.31799e-06   5.51745e-06   -0.00194142   -0.000604614   0.000308833   -0.00813881   -0.025172   0.185999   
-0.00049742   2.61754e-05   4.68053e-05   -0.000142761   -7.65444e-05   -6.73417e-06   0.000362459   0.00016893   0.000100923   0.000147562   6.83894e-05   -0.00014503   -0.000490402   1.1872e-06   -6.10084e-05   -6.3855e-05   0.00225148   -3.7867e-05   -0.000941711   -0.00117373   -0.000657119   -0.000805934   0.000903103   8.6062e-05   0.000827977   0.000674117   5.99892e-05   -0.000156719   0.000209117   -0.000598358   -0.000154563   0.000199704   0.000561356   0.000491027   9.76113e-05   -9.18102e-06   -0.000137181   -0.00018978   -0.000347917   -8.64465e-06   0.000414096   -0.000787812   -0.00134279   -0.000188286   0.000409847   0.00120268   0.000714396   -0.00122521   -0.000105768   -0.000381504   -0.00021089   0.000363549   5.65317e-06   7.80411e-06   2.32801e-05   7.52531e-05   0.000141762   -4.75916e-05   -3.72798e-08   2.36896e-07   2.00098e-05   9.59406e-10   0.000192232   -6.23316e-06   5.98343e-05   -0.000387899   0.000152841   1   0.000687464   0.00172092   -8.51903e-09   6.56876e-05   -5.39789e-05   -0.000419475   2.50742e-05   -0.000181077   -0.000159653   -1.1784e-05   -1.33382e-05   1.39286e-05   1.93264e-05   1.97632e-05   0.000173188   -5.04289e-05   1.03563e-06   4.48568e-06   -0.000109546   -5.50969e-06   7.41927e-06   2.98447e-05   9.09531e-07   -9.18829e-09   4.40175e-05   9.98919e-05   -1.11298e-05   0.000257779   -1.12223e-05   2.48983e-05   -0.000351548   3.60091e-06   -1.00172e-05   0.000820944   0.000583042   6.5886e-05   0.00010948   -7.26899e-05   -0.000384243   -2.97066e-07   2.14493e-06   2.84112e-07   6.47613e-06   2.83008e-07   2.88031e-07   -2.98361e-07   7.28527e-06   3.70951e-05   -1.95233e-05   0.000124899   3.02732e-05   5.43065e-08   0.000178603   -9.23501e-05   0.000157612   6.02302e-05   0.000278698   -2.00919e-05   0.000462517   -1.51651e-05   5.4056e-06   -3.44838e-06   2.88102e-07   -4.88459e-06   2.26236e-06   -2.24582e-05   2.22274e-05   -8.34505e-05   6.24719e-05   -3.29136e-08   1.00834e-07   6.14647e-07   1.7713e-06   1.81828e-05   -2.39174e-06   -2.37123e-05   -1.22086e-05   0.00179356   
0.0914923   0.0180679   -0.0262651   -0.0145662   0.042858   0.0172472   -0.00338981   0.0422328   -0.0179159   -0.0295846   0.0038679   -0.0258093   0.0293677   -0.00377813   -0.023632   0.00703545   -0.0344055   0.0046841   0.00260644   -0.0555933   0.0481872   0.0212146   -0.0237266   0.0209112   0.0222303   -0.0212212   0.00121311   -0.0488773   0.015435   0.0524031   -0.0220814   -0.0210698   0.0595485   -0.0285474   -0.00690948   -0.0297255   0.025015   -0.0173293   0.0147942   -0.000222114   -0.0237686   0.00416469   -0.0176378   -0.00161375   0.0175256   0.0691619   0.00268173   0.00767717   -0.00824713   -0.0150533   -0.0130667   0.0068726   -0.00150202   -0.000950122   0.000547397   -0.00132066   -0.00196697   0.000605557   -7.36703e-06   7.34229e-06   -0.000195944   -3.61014e-07   0.00946376   0.00237751   -0.0138701   0.0269255   1   0.000152841   0.00653026   -0.0761077   6.91044e-08   -0.000763993   -0.0082725   0.0505584   -0.000459891   -0.00325561   -0.00734886   0.00836769   0.0166207   0.0128736   -0.00637747   0.0153247   -0.0469251   0.00106729   4.66723e-05   0.00145972   -0.00478931   -0.000464155   -0.00413912   0.008706   -0.00356449   -2.00187e-07   0.00395883   0.00181275   -0.00960718   0.00687925   -0.000796285   0.00149722   0.0305742   -0.0193612   -0.00384209   -0.0069667   0.0116685   -0.00679029   0.0132154   -0.00438621   0.0159293   -9.96501e-06   -3.64396e-05   4.02273e-06   0.000159217   -6.76858e-06   -8.62629e-07   0.000172778   0.000180793   5.9579e-05   0.00422606   -6.06615e-06   -0.00287601   -1.66826e-06   -0.00814103   -0.00834855   0.00147121   0.00507538   0.0121967   -0.0119016   -0.0162301   -0.00281556   0.000491743   4.89393e-05   8.12202e-07   7.24844e-05   2.82843e-06   -0.000387287   0.000419921   0.00305021   -0.0142387   3.84932e-06   7.25732e-06   -1.60546e-06   -2.27617e-05   0.000259756   -0.000123283   0.0035213   -0.0034778   -0.0260722   
-0.0304307   0.00768388   0.00327184   -0.0755038   -0.165453   0.0191814   -0.0176767   0.0231198   0.0644782   -0.0546915   -0.0589249   0.00134003   0.0512986   0.00347418   0.0187333   -0.00459005   0.0484594   0.0183807   -0.0481946   0.00184627   -0.0547754   0.0133761   0.0369275   -0.0271475   -0.00373362   0.0121773   0.000673894   0.038733   0.0025967   -0.04499   0.046377   0.0199631   -0.0239533   0.0508462   0.0191304   0.0331031   -0.0195143   -0.0666985   -0.00701989   -0.000387023   0.00356846   -0.0201672   -0.00750886   0.00832078   -0.00500963   0.000403227   -0.00406229   0.0238793   0.0266705   -0.00186331   0.0204843   0.0131757   -0.00049524   -0.000177162   -0.0017756   -4.18791e-05   -0.000285504   0.00143644   2.68451e-06   -3.90107e-06   0.000422592   4.15909e-06   -0.00107216   -0.00160969   -0.0125111   1   0.0269255   -0.000387899   0.0868235   0.0584163   -2.5374e-08   0.000272685   -0.0188421   -0.0114681   8.3939e-05   -0.0022469   -0.00285071   -0.00390949   -0.00956957   -0.00840716   0.00212272   -0.0110629   0.00340464   -0.00245298   -2.94383e-06   -0.00120289   -0.0010158   0.00119263   0.000518329   -0.0220563   0.00339332   -8.01163e-08   -0.00204322   0.00110434   0.00944196   0.0201295   -0.000579107   0.00448732   -0.0324273   0.0179311   0.00304138   0.00417526   0.00679997   0.0135386   0.00842838   -0.00334261   -0.0256383   2.24213e-06   6.23519e-05   1.5158e-06   0.000108325   2.18897e-06   4.65718e-06   -0.00020317   9.26823e-05   0.000345247   -0.00400392   0.00277318   0.000679947   1.01411e-06   0.0311993   0.00830592   -0.0084525   -0.00269631   0.00433191   0.00177432   -0.0106312   -0.00393168   0.000415908   -0.00864533   -8.83932e-07   6.30646e-05   -2.81732e-05   -0.00162263   0.00153843   -0.000974932   0.00848566   4.03506e-07   -3.34423e-07   -1.82241e-06   0.000581527   -0.000379508   0.000163658   -0.000850337   0.00764111   -0.0183581   
0.00788953   0.031231   -0.0110599   -0.0359997   -0.0280972   -0.00433815   -0.00545973   0.0345222   -0.0197844   -0.048765   -0.0177114   0.0193367   0.0281001   0.000689232   -0.00459244   -0.00509441   -0.0153365   -0.00270818   -0.00456507   -0.0227059   0.0253243   0.014935   -0.0144478   0.0183147   0.00370258   0.00444703   0.000728011   0.0085247   0.0103381   0.00196574   0.00828729   0.00698555   0.0176361   0.00122274   0.000866072   0.00978417   -0.000318628   -0.0196983   -0.0203337   -0.0014316   -0.0175688   -0.0162641   -0.0214636   0.0051642   0.0100861   0.0606222   0.00599226   0.0188554   -0.019379   0.00691751   0.0113553   0.00696102   -0.000705544   -0.000320932   -0.00138275   0.000712654   0.000956085   0.000389373   -3.45479e-06   4.71914e-06   -8.3714e-05   -9.07024e-07   0.00697923   0.00039725   1   -0.0125111   -0.0138701   5.98343e-05   -0.00573891   -0.0624071   1.46183e-07   0.00124529   -0.0118905   0.0141322   -0.000448104   -0.0126868   -0.0134865   0.00015956   0.000155973   0.00096084   0.000197688   0.000984393   -0.0158684   0.00134734   5.94924e-05   0.00118449   -0.00446529   0.000377075   -0.00174532   -0.0066278   0.000718522   1.87407e-07   0.00407265   0.00123942   0.00328215   0.00983976   -0.00248556   0.0117484   -0.000549364   0.00384315   -0.000745189   0.00539901   0.0077902   0.00835184   -0.00768917   -0.0137066   -0.00540974   -4.74572e-07   -2.43717e-05   3.71662e-06   0.000213435   1.65785e-07   1.2462e-06   -8.89035e-05   0.000195002   0.000466719   -0.000141455   0.00122905   -0.00255358   3.21371e-06   0.00490593   -0.00018304   -0.00577196   0.00124934   0.0306423   -0.00337876   -0.0143548   -0.00662153   0.000288323   -0.00597924   1.71935e-08   0.000243701   -6.14068e-05   -0.00129411   0.00124042   0.00294118   -0.00481354   1.99127e-06   7.70223e-06   -2.29975e-06   -0.000108918   0.000156056   -8.48129e-05   0.00190975   -8.23518e-05   0.00463204   
0.00112993   0.00401593   -0.00269362   -0.00308   0.00214048   -0.00156326   0.0025165   -0.001677   0.000525563   0.000559598   0.00427967   -0.00266931   0.000817495   3.75763e-05   0.00106499   0.00175125   -0.000504841   -0.000854786   -0.00193441   -0.00171116   -0.000336388   -0.000683265   -0.000387246   -0.00034244   0.000320115   -0.000425787   -0.000186765   0.00928901   -0.00106612   0.000273274   0.00100599   -0.000570758   -8.14721e-06   0.000791979   0.000892605   0.000656785   0.000142592   -0.000166957   -0.00223121   9.62396e-05   0.00292717   -0.00155934   0.00557007   0.00261761   0.00193761   -0.00458707   0.000278148   0.000468851   -0.00130553   0.00399171   -0.00141741   -0.000845133   0.000309696   0.000138731   -0.000166463   -4.60628e-05   -0.00011945   7.52677e-05   -9.72419e-07   1.01012e-06   4.12605e-06   -7.6656e-07   0.000384357   1   0.00039725   -0.00160969   0.00237751   -6.23316e-06   -0.00681486   -0.00145236   3.76062e-09   -0.000159064   0.000435568   -0.00201081   -4.02115e-05   -0.00158844   -0.00156179   -0.000209475   -0.0013007   -0.000832556   -0.000423466   -0.00151139   0.00167319   -0.000176635   2.34865e-06   -0.000123159   0.000997069   -2.39558e-05   -0.000425385   0.000615169   4.8171e-05   1.14898e-08   -0.00037673   -0.000301358   0.00205645   0.000598546   0.000147103   0.00117091   0.00214994   0.000212312   0.000172975   -0.0031722   -0.00159991   0.00231913   -0.00105632   0.00101909   -0.00142412   -1.02007e-06   -1.43854e-06   1.76933e-07   -1.83199e-05   -7.11334e-07   -8.26619e-07   -4.32077e-05   -1.41152e-05   3.9736e-05   0.000214756   -0.00052241   0.000239652   4.84656e-08   -0.00197493   9.0058e-05   -4.51131e-05   0.000240013   0.000947877   0.000138599   -0.00359743   3.90892e-05   8.01013e-05   0.000116842   1.68965e-07   3.92488e-05   -1.61734e-06   -6.97984e-05   6.50316e-05   -0.000339117   -0.00151434   4.76874e-08   5.36421e-07   -2.37888e-07   -0.000143754   -8.91397e-05   0.00018593   9.08077e-06   0.000186354   -0.00209054   
-0.0139571   -0.0131367   0.00508547   -0.0146301   -0.0146393   0.0053654   0.0171483   0.0183424   8.46023e-05   -0.0188806   0.0148076   0.0219898   -0.0260248   -0.00204031   -0.0183492   0.0102223   0.00153319   0.000771021   0.00122468   0.015207   0.0113218   0.0165444   -0.0141894   0.00384775   -0.0139667   -0.0240172   0.000271576   0.00972832   0.00189445   -0.00890946   -0.00434297   -0.00413636   -0.00649646   -0.0146953   -0.000138264   -0.00203176   -0.00371997   0.000129611   0.0200601   0.000638416   -0.0123545   0.0102804   -0.00328041   -0.000617868   0.00876007   0.00895027   -0.00138855   -1.93608e-05   0.0151358   0.0178589   0.00964375   -0.0057825   0.00161001   0.00057467   -0.00106757   0.000366493   0.000753744   -0.000357277   8.55669e-07   -8.79974e-07   -0.000200863   1.02933e-06   1   0.000384357   0.00697923   -0.00107216   0.00946376   0.000192232   -0.0056628   -0.0110019   1.99052e-08   0.000260082   0.0115597   0.00280237   1.09666e-05   -0.0031522   -0.0035269   -0.00119943   -0.00342544   -0.0036748   0.000225192   -0.00496498   0.0165596   -0.00119704   1.83565e-05   -2.48299e-05   0.00864571   -4.05755e-05   0.000802331   0.00202098   -0.00197509   -1.03665e-08   -0.00132332   0.000441041   0.00252581   -0.0120427   0.0010207   -0.00482511   0.0038455   -0.0105799   -0.00297988   -0.00924075   0.0026411   0.00408616   -0.00749427   0.00586638   -0.00301069   8.55863e-07   2.9118e-06   -1.67745e-07   3.51505e-05   1.0463e-06   1.23557e-06   -5.87282e-05   2.97764e-05   -0.000691249   0.0037229   -0.00239589   -0.0013003   7.21241e-08   0.000242776   -0.00256549   -0.000532757   0.00278569   8.72128e-05   -0.00761118   0.00448112   -0.000369254   -9.98785e-06   0.00223697   3.64206e-07   -6.42169e-06   1.61249e-06   0.000750085   -0.000736943   0.00153124   -0.00257582   4.92984e-08   -8.85446e-07   7.75812e-07   -4.56388e-05   -2.7312e-05   3.49465e-05   -0.000671334   -0.00611605   0.0118357   
